team,W,D,L,GS,GC,GD,P
Chelsea FC,28,6,4,58.0,16.0,42.0,90
Liverpool FC,23,9,6,38.0,14.0,24.0,78
Manchester United,21,15,2,51.0,26.0,25.0,78
Tottenham Hotspur,15,17,6,39.0,27.0,12.0,62
Bolton Wanderers,15,12,11,35.0,31.0,4.0,57
Blackburn Rovers,15,10,13,33.0,33.0,0.0,55
Arsenal FC,14,13,11,41.0,24.0,17.0,55
Newcastle United,14,12,12,32.0,27.0,5.0,54
Wigan Athletic,12,13,13,37.0,41.0,-4.0,49
Manchester City,13,10,15,31.0,33.0,-2.0,49
West Ham United,12,11,15,39.0,43.0,-4.0,47
Middlesbrough FC,10,16,12,37.0,42.0,-5.0,46
Charlton Athletic,11,12,15,27.0,41.0,-14.0,45
Everton FC,12,8,18,24.0,39.0,-15.0,44
Fulham FC,10,13,15,37.0,43.0,-6.0,43
Aston Villa,9,14,15,31.0,43.0,-12.0,41
West Bromwich Albion,8,14,16,26.0,34.0,-8.0,38
Portsmouth FC,9,9,20,27.0,41.0,-14.0,36
Birmingham City,5,15,18,20.0,40.0,-20.0,30
Sunderland AFC,4,11,23,18.0,43.0,-25.0,23
