team,W,D,L,GS,GC,GD,P
Arsenal FC,27,9,2,60.0,17.0,43.0,90
Manchester United,20,12,6,44.0,25.0,19.0,72
Chelsea FC,19,14,5,43.0,22.0,21.0,71
Aston Villa,17,11,10,41.0,26.0,15.0,62
Liverpool FC,15,14,9,42.0,27.0,15.0,59
Fulham FC,16,9,13,43.0,36.0,7.0,57
Portsmouth FC,14,11,13,35.0,36.0,-1.0,53
Newcastle United,12,16,10,36.0,28.0,8.0,52
Middlesbrough FC,13,10,15,33.0,40.0,-7.0,49
Charlton Athletic,12,13,13,37.0,36.0,1.0,49
Everton FC,11,15,12,35.0,39.0,-4.0,48
Southampton FC,10,14,14,27.0,34.0,-7.0,44
Bolton Wanderers,11,10,17,34.0,48.0,-14.0,43
Wolverhampton Wanderers,10,11,17,30.0,51.0,-21.0,41
Manchester City,10,11,17,35.0,43.0,-8.0,41
Tottenham Hotspur,10,11,17,32.0,41.0,-9.0,41
Birmingham City,10,11,17,29.0,36.0,-7.0,41
Leicester City,9,11,18,35.0,46.0,-11.0,38
Leeds United,9,10,19,30.0,56.0,-26.0,37
Blackburn Rovers,7,13,18,31.0,45.0,-14.0,34
