team,W,D,L,GS,GC,GD,P
Manchester City,31,5,2,75.0,15.0,60.0,98
Liverpool FC,26,10,2,65.0,17.0,48.0,88
Arsenal FC,21,6,11,55.0,38.0,17.0,69
Chelsea FC,20,5,13,42.0,31.0,11.0,65
Tottenham Hotspur,17,14,7,49.0,26.0,23.0,65
Watford FC,16,7,15,39.0,40.0,-1.0,55
Everton FC,16,7,15,43.0,36.0,7.0,55
Leicester City,15,10,13,36.0,32.0,4.0,55
Manchester United,14,10,14,44.0,42.0,2.0,52
Wolverhampton Wanderers,14,9,15,31.0,37.0,-6.0,51
Southampton FC,14,9,15,34.0,46.0,-12.0,51
Newcastle United,12,13,13,30.0,32.0,-2.0,49
West Ham United,13,10,15,40.0,41.0,-1.0,49
AFC Bournemouth,13,8,17,40.0,50.0,-10.0,47
Brighton & Hove Albion,9,12,17,30.0,46.0,-16.0,39
Cardiff City,10,7,21,23.0,44.0,-21.0,37
Crystal Palace,8,13,17,30.0,41.0,-11.0,37
Burnley FC,8,12,18,29.0,49.0,-20.0,36
Huddersfield Town,5,10,23,16.0,55.0,-39.0,25
Fulham FC,5,9,24,26.0,59.0,-33.0,24
