team,W,D,L,GS,GC,GD,P
Manchester City,28,8,2,81.0,18.0,63.0,92
Liverpool FC,25,8,5,66.0,26.0,40.0,83
Tottenham Hotspur,21,11,6,56.0,24.0,32.0,74
Manchester United,21,11,6,46.0,23.0,23.0,74
Chelsea FC,19,10,9,47.0,27.0,20.0,67
Arsenal FC,13,10,15,51.0,42.0,9.0,49
Leicester City,12,13,13,42.0,44.0,-2.0,49
Watford FC,12,11,15,30.0,40.0,-10.0,47
Everton FC,11,13,14,34.0,35.0,-1.0,46
Burnley FC,10,14,14,21.0,31.0,-10.0,44
Newcastle United,12,8,18,33.0,38.0,-5.0,44
West Ham United,11,10,17,34.0,50.0,-16.0,43
West Bromwich Albion,9,16,13,26.0,39.0,-13.0,43
Southampton FC,9,16,13,28.0,39.0,-11.0,43
Crystal Palace,10,13,15,27.0,42.0,-15.0,43
Brighton & Hove Albion,9,14,15,31.0,41.0,-10.0,41
AFC Bournemouth,9,13,16,31.0,44.0,-13.0,40
Huddersfield Town,7,15,16,21.0,48.0,-27.0,36
Swansea City,6,15,17,18.0,40.0,-22.0,33
Stoke City,6,11,21,23.0,55.0,-32.0,29
