team,W,D,L,GS,GC,GD,P
Tottenham Hotspur,25,6,7,60.0,20.0,40.0,81
Liverpool FC,21,13,4,62.0,29.0,33.0,76
Chelsea FC,22,9,7,59.0,26.0,33.0,75
Manchester City,19,13,6,54.0,27.0,27.0,70
Arsenal FC,19,9,10,49.0,35.0,14.0,66
Manchester United,16,14,8,32.0,21.0,11.0,62
Everton FC,16,9,13,36.0,32.0,4.0,57
Stoke City,15,7,16,33.0,39.0,-6.0,52
Crystal Palace,13,10,15,35.0,37.0,-2.0,49
West Bromwich Albion,12,12,14,31.0,36.0,-5.0,48
West Ham United,10,15,13,34.0,43.0,-9.0,45
AFC Bournemouth,12,8,18,40.0,51.0,-11.0,44
Leicester City,11,11,16,35.0,39.0,-4.0,44
Watford FC,11,10,17,32.0,47.0,-15.0,43
Southampton FC,9,15,14,26.0,32.0,-6.0,42
Middlesbrough FC,7,17,14,23.0,39.0,-16.0,38
Burnley FC,9,11,18,28.0,41.0,-13.0,38
Swansea City,8,13,17,28.0,51.0,-23.0,37
Hull City,9,8,21,31.0,56.0,-25.0,35
Sunderland AFC,6,10,22,19.0,46.0,-27.0,28
