team,W,D,L,GS,GC,GD,P
Chelsea FC,24,8,6,54.0,18.0,36.0,80
Manchester United,22,11,5,52.0,19.0,33.0,77
Liverpool FC,21,12,5,48.0,20.0,28.0,75
Arsenal FC,18,12,8,43.0,26.0,17.0,66
Aston Villa,16,13,9,39.0,30.0,9.0,61
Everton FC,13,15,10,37.0,29.0,8.0,54
Fulham FC,12,18,8,28.0,23.0,5.0,54
West Ham United,14,10,14,32.0,32.0,0.0,52
Manchester City,15,6,17,44.0,36.0,8.0,51
Tottenham Hotspur,11,16,11,33.0,32.0,1.0,49
Portsmouth FC,13,10,15,31.0,41.0,-10.0,49
Stoke City,12,12,14,28.0,36.0,-8.0,48
Bolton Wanderers,11,14,13,30.0,36.0,-6.0,47
Wigan Athletic,10,14,14,25.0,30.0,-5.0,44
Middlesbrough FC,9,11,18,18.0,39.0,-21.0,38
Sunderland AFC,8,13,17,23.0,41.0,-18.0,37
West Bromwich Albion,8,13,17,25.0,47.0,-22.0,37
Hull City,7,14,17,29.0,45.0,-16.0,35
Newcastle United,6,14,18,26.0,47.0,-21.0,32
Blackburn Rovers,6,12,20,25.0,43.0,-18.0,30
