team,W,D,L,GS,GC,GD,P
Manchester United,19,14,5,57.0,26.0,31.0,71
Manchester City,20,10,8,50.0,24.0,26.0,70
Arsenal FC,19,12,7,50.0,27.0,23.0,69
Liverpool FC,18,9,11,46.0,30.0,16.0,63
Chelsea FC,17,11,10,48.0,24.0,24.0,62
Tottenham Hotspur,14,16,8,39.0,29.0,10.0,58
Sunderland AFC,15,10,13,34.0,40.0,-6.0,55
Aston Villa,13,15,10,35.0,36.0,-1.0,54
Newcastle United,13,11,14,41.0,37.0,4.0,50
Stoke City,14,7,17,28.0,34.0,-6.0,49
Birmingham City,11,14,13,30.0,46.0,-16.0,47
Blackpool FC,13,8,17,36.0,53.0,-17.0,47
Blackburn Rovers,12,10,16,33.0,46.0,-13.0,46
Fulham FC,10,16,12,38.0,36.0,2.0,46
Everton FC,11,11,16,31.0,38.0,-7.0,44
West Ham United,9,13,16,32.0,48.0,-16.0,40
Wigan Athletic,9,12,17,27.0,43.0,-16.0,39
West Bromwich Albion,9,12,17,40.0,54.0,-14.0,39
Bolton Wanderers,9,11,18,33.0,43.0,-10.0,38
Wolverhampton Wanderers,9,10,19,31.0,45.0,-14.0,37
