team,W,D,L,GS,GC,GD,P
Manchester United,22,8,8,52.0,23.0,29.0,74
Leeds United,19,12,7,47.0,30.0,17.0,69
Chelsea FC,18,13,7,52.0,28.0,24.0,67
Liverpool FC,18,12,8,55.0,29.0,26.0,66
Arsenal FC,18,11,9,43.0,30.0,13.0,65
Ipswich Town,17,9,12,42.0,35.0,7.0,60
Sunderland AFC,15,13,10,39.0,31.0,8.0,58
Aston Villa,14,12,12,31.0,31.0,0.0,54
Southampton FC,13,13,12,29.0,35.0,-6.0,52
Tottenham Hotspur,12,14,12,37.0,35.0,2.0,50
Leicester City,12,12,14,30.0,33.0,-3.0,48
Newcastle United,13,9,16,35.0,36.0,-1.0,48
Charlton Athletic,11,15,12,32.0,35.0,-3.0,48
Middlesbrough FC,11,14,13,31.0,30.0,1.0,47
Coventry City,9,14,15,25.0,44.0,-19.0,41
Derby County,9,12,17,26.0,43.0,-17.0,39
West Ham United,10,8,20,30.0,43.0,-13.0,38
Everton FC,8,13,17,29.0,45.0,-16.0,37
Manchester City,8,12,18,30.0,45.0,-15.0,36
Bradford City,6,8,24,21.0,55.0,-34.0,26
