team,W,D,L,GS,GC,GD,P
Liverpool FC,23,11,4,55.0,26.0,29.0,80
Manchester City,23,8,7,70.0,23.0,47.0,77
Manchester United,20,9,9,52.0,23.0,29.0,69
Chelsea FC,20,8,10,55.0,35.0,20.0,68
Arsenal FC,18,12,8,42.0,30.0,12.0,66
Wolverhampton Wanderers,13,19,6,37.0,26.0,11.0,58
Leicester City,13,14,11,42.0,30.0,12.0,53
Tottenham Hotspur,13,13,12,41.0,37.0,4.0,52
Aston Villa,15,7,16,29.0,41.0,-12.0,52
Southampton FC,13,12,13,38.0,44.0,-6.0,51
Burnley FC,14,9,15,25.0,37.0,-12.0,51
Sheffield United,12,11,15,26.0,31.0,-5.0,47
Everton FC,12,9,17,30.0,43.0,-13.0,45
Crystal Palace,9,13,16,22.0,36.0,-14.0,40
West Ham United,8,16,14,36.0,42.0,-6.0,40
Watford FC,10,9,19,26.0,45.0,-19.0,39
Newcastle United,8,15,15,28.0,38.0,-10.0,39
Brighton & Hove Albion,7,14,17,28.0,42.0,-14.0,35
AFC Bournemouth,8,10,20,26.0,45.0,-19.0,34
Norwich City,8,7,23,23.0,57.0,-34.0,31
