team,W,D,L,GS,GC,GD,P
Arsenal FC,22,9,7,48.0,24.0,24.0,75
Leicester City,19,15,4,51.0,24.0,27.0,72
Manchester United,20,11,7,40.0,23.0,17.0,71
Tottenham Hotspur,18,14,6,51.0,22.0,29.0,68
Southampton FC,18,10,10,42.0,28.0,14.0,64
Manchester City,17,10,11,51.0,36.0,15.0,61
West Ham United,16,13,9,49.0,40.0,9.0,61
Chelsea FC,17,10,11,47.0,32.0,15.0,61
Liverpool FC,17,8,13,48.0,36.0,12.0,59
Everton FC,14,12,12,41.0,36.0,5.0,54
Swansea City,12,11,15,35.0,44.0,-9.0,47
Stoke City,11,13,14,33.0,39.0,-6.0,46
Watford FC,12,9,17,27.0,37.0,-10.0,45
Crystal Palace,9,16,13,27.0,34.0,-7.0,43
AFC Bournemouth,11,8,19,33.0,49.0,-16.0,41
West Bromwich Albion,10,10,18,24.0,37.0,-13.0,40
Newcastle United,8,10,20,26.0,48.0,-22.0,34
Norwich City,8,9,21,28.0,50.0,-22.0,33
Sunderland AFC,7,11,20,26.0,51.0,-25.0,32
Aston Villa,5,9,24,20.0,57.0,-37.0,24
