team,W,D,L,GS,GC,GD,P
Arsenal FC,21,15,2,55.0,23.0,32.0,78
Liverpool FC,21,13,4,48.0,23.0,25.0,76
Manchester United,22,8,8,63.0,34.0,29.0,74
Leeds United,19,14,5,45.0,23.0,22.0,71
Newcastle United,16,11,11,53.0,44.0,9.0,59
Chelsea FC,11,21,6,41.0,27.0,14.0,54
Tottenham Hotspur,12,15,11,36.0,38.0,-2.0,51
West Ham United,13,11,14,32.0,38.0,-6.0,50
Aston Villa,11,17,10,36.0,34.0,2.0,50
Southampton FC,13,7,18,33.0,41.0,-8.0,46
Middlesbrough FC,11,12,15,25.0,31.0,-6.0,45
Fulham FC,9,17,12,29.0,35.0,-6.0,44
Blackburn Rovers,10,14,14,36.0,41.0,-5.0,44
Charlton Athletic,9,13,16,27.0,36.0,-9.0,40
Leicester City,10,10,18,26.0,45.0,-19.0,40
Everton FC,9,13,16,35.0,42.0,-7.0,40
Ipswich Town,8,15,15,30.0,42.0,-12.0,39
Sunderland AFC,9,10,19,20.0,39.0,-19.0,37
Bolton Wanderers,5,21,12,30.0,39.0,-9.0,36
Derby County,7,11,20,24.0,49.0,-25.0,32
