team,W,D,L,GS,GC,GD,P
Chelsea FC,26,8,4,59.0,24.0,35.0,86
Manchester City,22,6,10,59.0,31.0,28.0,72
Manchester United,20,8,10,46.0,26.0,20.0,68
Arsenal FC,18,12,8,47.0,27.0,20.0,66
Swansea City,16,12,10,36.0,34.0,2.0,60
Southampton FC,16,11,11,39.0,24.0,15.0,59
Liverpool FC,16,10,12,41.0,33.0,8.0,58
West Ham United,15,11,12,36.0,29.0,7.0,56
West Bromwich Albion,14,11,13,33.0,38.0,-5.0,53
Tottenham Hotspur,12,14,12,42.0,44.0,-2.0,50
Everton FC,13,10,15,37.0,36.0,1.0,49
Crystal Palace,12,11,15,33.0,37.0,-4.0,47
Stoke City,11,13,14,32.0,37.0,-5.0,46
Leicester City,12,8,18,34.0,42.0,-8.0,44
Aston Villa,9,13,16,22.0,40.0,-18.0,40
Hull City,9,12,17,24.0,38.0,-14.0,39
Newcastle United,11,6,21,29.0,48.0,-19.0,39
Sunderland AFC,6,19,13,24.0,40.0,-16.0,37
Queens Park Rangers,8,10,20,28.0,50.0,-22.0,34
Burnley FC,6,11,21,21.0,44.0,-23.0,29
