team,W,D,L,GS,GC,GD,P
Manchester City,25,7,6,67.0,23.0,44.0,82
Liverpool FC,20,11,7,47.0,27.0,20.0,71
Tottenham Hotspur,20,9,9,57.0,31.0,26.0,69
West Ham United,18,12,8,40.0,29.0,11.0,66
Manchester United,17,14,7,52.0,31.0,21.0,65
Chelsea FC,16,14,8,44.0,27.0,17.0,62
Leicester City,15,11,12,43.0,37.0,6.0,56
Arsenal FC,15,9,14,38.0,32.0,6.0,54
Everton FC,14,11,13,38.0,38.0,0.0,53
Leeds United,13,11,14,44.0,43.0,1.0,50
Crystal Palace,12,10,16,31.0,48.0,-17.0,46
Brighton & Hove Albion,10,15,13,28.0,32.0,-4.0,45
Aston Villa,9,16,13,36.0,38.0,-2.0,43
Southampton FC,10,12,16,37.0,49.0,-12.0,42
Newcastle United,11,9,18,29.0,43.0,-14.0,42
Burnley FC,9,12,17,26.0,43.0,-17.0,39
Wolverhampton Wanderers,8,14,16,24.0,40.0,-16.0,38
Fulham FC,7,16,15,23.0,39.0,-16.0,37
West Bromwich Albion,8,12,18,28.0,53.0,-25.0,36
Sheffield United,8,5,25,17.0,46.0,-29.0,29
