team,W,D,L,GS,GC,GD,P
Manchester United,24,6,8,66.0,34.0,32.0,78
Chelsea FC,20,14,4,58.0,27.0,31.0,74
Arsenal FC,18,14,6,49.0,28.0,21.0,68
Tottenham Hotspur,18,11,9,51.0,32.0,19.0,65
Everton FC,18,10,10,39.0,29.0,10.0,64
Liverpool FC,16,14,8,61.0,31.0,30.0,62
Manchester City,15,11,12,40.0,29.0,11.0,56
Swansea City,13,13,12,36.0,32.0,4.0,52
West Bromwich Albion,14,9,15,32.0,35.0,-3.0,51
Norwich City,11,16,11,29.0,38.0,-9.0,49
Fulham FC,12,12,14,36.0,41.0,-5.0,48
Southampton FC,10,18,10,39.0,38.0,1.0,48
Stoke City,11,15,12,25.0,31.0,-6.0,48
Aston Villa,9,15,14,34.0,52.0,-18.0,42
West Ham United,8,15,15,28.0,45.0,-17.0,39
Sunderland AFC,8,15,15,30.0,40.0,-10.0,39
Wigan Athletic,9,10,19,35.0,55.0,-20.0,37
Newcastle United,6,15,17,29.0,51.0,-22.0,33
Queens Park Rangers,4,19,15,26.0,45.0,-19.0,31
Reading FC,5,10,23,27.0,57.0,-30.0,25
