team,W,D,L,GS,GC,GD,P
Manchester United,27,7,4,63.0,18.0,45.0,88
Chelsea FC,22,12,4,46.0,17.0,29.0,78
Liverpool FC,17,12,9,41.0,20.0,21.0,63
Bolton Wanderers,18,7,13,39.0,37.0,2.0,61
Arsenal FC,15,16,7,39.0,23.0,16.0,61
Everton FC,14,14,10,34.0,24.0,10.0,56
Blackburn Rovers,15,9,14,41.0,36.0,5.0,54
Reading FC,15,8,15,31.0,37.0,-6.0,53
Tottenham Hotspur,15,8,15,39.0,38.0,1.0,53
Portsmouth FC,14,10,14,32.0,32.0,0.0,52
Middlesbrough FC,11,12,15,34.0,38.0,-4.0,45
Newcastle United,10,15,13,30.0,35.0,-5.0,45
Aston Villa,10,15,13,27.0,31.0,-4.0,45
Watford FC,9,17,12,25.0,35.0,-10.0,44
Wigan Athletic,9,16,13,29.0,37.0,-8.0,43
West Ham United,11,9,18,27.0,44.0,-17.0,42
Manchester City,8,13,17,21.0,34.0,-13.0,37
Charlton Athletic,8,11,19,23.0,42.0,-19.0,35
Sheffield United,6,16,16,24.0,44.0,-20.0,34
Fulham FC,5,15,18,24.0,47.0,-23.0,30
