team,W,D,L,GS,GC,GD,P
Manchester United,23,9,6,52.0,23.0,29.0,78
Arsenal FC,21,12,5,65.0,29.0,36.0,75
Liverpool FC,21,7,10,45.0,25.0,20.0,70
Blackburn Rovers,17,12,9,41.0,23.0,18.0,63
Chelsea FC,17,8,13,38.0,26.0,12.0,59
Charlton Athletic,16,8,14,32.0,36.0,-4.0,56
Everton FC,13,15,10,36.0,33.0,3.0,54
Leeds United,15,9,14,41.0,39.0,2.0,54
Newcastle United,15,8,15,37.0,40.0,-3.0,53
Southampton FC,12,16,10,26.0,28.0,-2.0,52
West Ham United,11,15,12,31.0,39.0,-8.0,48
Fulham FC,12,12,14,27.0,32.0,-5.0,48
Aston Villa,12,10,16,26.0,30.0,-4.0,46
Manchester City,11,10,17,29.0,39.0,-10.0,43
Middlesbrough FC,11,10,17,34.0,32.0,2.0,43
Birmingham City,11,10,17,25.0,35.0,-10.0,43
Bolton Wanderers,11,10,17,27.0,36.0,-9.0,43
Tottenham Hotspur,9,13,16,31.0,50.0,-19.0,40
Sunderland AFC,6,14,18,17.0,40.0,-23.0,32
West Bromwich Albion,7,10,21,23.0,48.0,-25.0,31
