team,W,D,L,GS,GC,GD,P
Chelsea FC,25,10,3,55.0,17.0,38.0,85
Manchester United,24,9,5,55.0,18.0,37.0,81
Arsenal FC,20,12,6,45.0,25.0,20.0,72
Liverpool FC,19,14,5,49.0,20.0,29.0,71
Everton FC,18,12,8,38.0,20.0,18.0,66
Aston Villa,17,12,9,52.0,34.0,18.0,63
Blackburn Rovers,15,13,10,40.0,30.0,10.0,58
Manchester City,13,14,11,34.0,36.0,-2.0,53
Portsmouth FC,13,14,11,32.0,29.0,3.0,53
Tottenham Hotspur,13,13,12,49.0,44.0,5.0,52
Fulham FC,11,13,14,30.0,44.0,-14.0,46
Wigan Athletic,10,14,14,27.0,35.0,-8.0,44
Middlesbrough FC,11,10,17,29.0,42.0,-13.0,43
West Ham United,10,10,18,29.0,39.0,-10.0,40
Newcastle United,9,13,16,32.0,43.0,-11.0,40
Birmingham City,7,14,17,33.0,47.0,-14.0,35
Bolton Wanderers,7,13,18,22.0,41.0,-19.0,34
Reading FC,8,8,22,26.0,47.0,-21.0,32
Sunderland AFC,6,12,20,22.0,42.0,-20.0,30
Derby County,2,14,22,16.0,62.0,-46.0,20
