player,goals
Thierry Henry,23
Louis Saha,17
Alan Shearer,16
Juan Pablo Ángel,15
Ruud van Nistelrooy,14
Michael Owen,13
Mikael Forssell,13
Nicolas Anelka,12
Yakubu Ayegbeni,12
Robbie Keane,10
Robert Pirés,10
Kevin Nolan,9
Andy Cole,9
James Beattie,9
Paul Dickov,9
Les Ferdinand,8
Wayne Rooney,8
Mark Viduka,8
Marcus Bent,7
Boa Morte,7
Tomasz Radzinski,7
Paul Scholes,7
Frank Lampard,7
Alan Smith,7
Kevin Phillips,7
Emile Heskey,7
Szilárd Németh,7
Jason Euell,7
Juninho Paulista,6
Kevin Davies,6
Darius Vassell,6
Harry Kewell,6
Hernán Crespo,6
Ryan Giggs,6
Youri Djorkaeff,6
Shola Ameobi,6
Jermain Defoe,5
Laurent Robert,5
Henri Camara,5
Steed Malbranque,5
Robbie Fowler,5
Jimmy Floyd Hasselbaink,5
Damien Duff,5
Patrik Berger,5
Teddy Sheringham,5
Shaun Bartlett,4
Frédéric Kanouté,4
Boudewijn Zenden,4
Gilberto Silva,4
Colin Cameron,4
Shaun Wright-Phillips,4
Henrik Pedersen,4
Craig Bellamy,4
Matt Holland,4
Carl Cort,4
Carlton Cole,4
Massimo Maccarone,4
Sean Davis,4
Eiður Guðjohnsen,4
Freddie Ljungberg,4
Danny Murphy,4
Steve Watson,4
Jonatan Johansson,4
Scott Parker,3
Lomana LuaLua,3
Dwight Yorke,3
Gary Flitcroft,3
Vladimír Šmicer,3
Thomas Hitzlsperger,3
Barry Hayles,3
Michael Tarnat,3
Dion Dublin,3
James Milner,3
Joseph-Désiré Job,3
Patrick Vieira,3
Sami Hyypiä,3
David Unsworth,3
Paulo Wanchope,3
Claus Jensen,3
Brett Ormerod,3
Brian McBride,3
Bryan Hughes,3
Steffen Iversen,3
Lorenzo Amoruso,3
Adrian Mutu,3
Dejan Stefanović,3
Alex Rae,3
Dennis Bergkamp,3
James Scowcroft,3
Sylvain Wiltord,3
Collins John,3
Ionel Ganea,3
Iván Campo,3
Robbie Savage,3
Peter Crouch,3
Antoine Sibierski,2
Junichi Inamoto,2
Matt Jansen,2
Mario Melchiot,2
John Terry,2
Michael Duberry,2
Gustavo Poyet,2
Graham Stuart,2
Paolo Di Canio,2
Stylianos Giannakopoulos,2
Marians Pahars,2
Jonathan Fortune,2
Gareth Barry,2
Stephen Clemence,2
Reyes,2
Lee Clark,2
Seth Johnson,2
Duncan Ferguson,2
Muzzy Izzet,2
Markus Babbel,2
Paul Ince,2
Steven Gerrard,2
Cristiano Ronaldo,2
Jlloyd Samuel,2
Hermann Hreiðarsson,2
Lee Hendrie,2
Gary Neville,2
Gary O'Neil,2
Kevin Kilbane,2
Edu Gaspar,2
John O'Shea,2
Michael Svensson,2
Stéphane Dalmat,2
Mendieta,2
Matt Kilgallon,2
Jesper Grønkjær,2
Brett Emerton,2
Gary Naysmith,2
Rohan Ricketts,1
Jeff Kenna,1
Rory Delap,1
Olivier Bernard,1
Diego Forlán,1
Barry Ferguson,1
Kevin Campbell,1
Jody Craddock,1
Hayden Foxe,1
Jon Stead,1
Malcolm Christie,1
Kieron Dyer,1
Nicky Hunt,1
Andy O'Brien,1
Mbulelo Mabizela,1
Gareth Southgate,1
Leon Osman,1
Mark Pembridge,1
Stephen Carr,1
Nicky Butt,1
Joey Barton,1
Jon Macken,1
Facundo Sava,1
Stern John,1
Sol Campbell,1
Ledley King,1
Michael Ricketts,1
Ronny Johnsen,1
David Bellion,1
Jason Dodd,1
Eirik Bakke,1
Glen Johnson,1
Paul Butler,1
David Prutton,1
Steven Caldwell,1
Juan Sebastián Verón,1
Dietmar Hamann,1
Jermaine Pennant,1
Stephen McPhail,1
Zoumana Camara,1
Jonathan Greening,1
Ben Thatcher,1
Frank Sinclair,1
Kevin Lisbie,1
Mark Kennedy,1
Stan Lazaridis,1
Trevor Sinclair,1
David Thompson,1
Steve Marlet,1
Christophe Dugarry,1
Darren Anderton,1
Jamie Redknapp,1
Clinton Morrison,1
Jordan Stewart,1
Kolo Touré,1
Wayne Bridge,1
David Dunn,1
Kenny Miller,1
Steve Stone,1
Nathan Blake,1
Jonathan Douglas,1
Martin Taylor,1
Simon Davies,1
Damien Johnson,1
Michael Brown,1
Stefan Moore,1
Lamine Sakho,1
Gary Speed,1
Hélder Postiga,1
Lucas Neill,1
Arjan de Zeeuw,1
Thomas Gravesen,1
Florent Sinama-Pongolle,1
Vratislav Greško,1
Joe Cole,1
Nigel Quashie,1
Carlos Marinelli,1
Olof Mellberg,1
Sylvain Distin,1
Paul Gallagher,1
Jermaine Jenas,1
Lilian Nalis,1
Roy Keane,1
Per Frandsen,1
Nwankwo Kanu,1
Claus Lundekvam,1
Bruno Cheyrou,1
Jason Roberts,1
Marcus Allbäck,1
Lee Carsley,1
