player,goals
Sergio Agüero,20
Diego Costa,18
Harry Kane,17
Charlie Austin,14
Alexis Sánchez,12
Eden Hazard,12
Saido Berahino,11
Olivier Giroud,10
Leonardo Ulloa,10
Mame Diouf,10
David Silva,10
Nacer Chadli,9
Graziano Pellè,9
Romelu Lukaku,9
Danny Ings,9
Wilfried Bony,9
Yaya Touré,8
Christian Benteke,8
Mata,8
Robin van Persie,8
Sadio Mané,8
Sung-yueng Ki,7
Jon Walters,7
Steven Naismith,7
Raheem Sterling,7
Diafra Sakho,7
Wayne Rooney,7
Gylfi Sigurðsson,6
Christian Eriksen,6
Leroy Fer,6
Marouane Fellaini,6
Papiss Demba Cissé,6
Steven Gerrard,6
Ayoze Pérez,6
Adam Lallana,5
Peter Crouch,5
Stewart Downing,5
Gabriel Agbonlahor,5
Jordan Henderson,5
Santi Cazorla,5
Kevin Mirallas,5
Esteban Cambiasso,5
Moussa Sissoko,4
Edin Džeko,4
John Terry,4
Radamel Falcao,4
Cheikhou Kouyaté,4
Branislav Ivanović,4
Nikica Jelavić,4
Ashley Barnes,4
Yannick Bolasie,4
Mile Jedinak,4
Connor Wickham,4
Steven Fletcher,4
Enner Valencia,4
Jason Puncheon,4
Dwight Gayle,4
Jack Colback,4
Jordi Gómez,4
David Nugent,4
George Boyd,4
Oscar,4
Loïc Rémy,4
Momo Diamé,4
Coutinho,4
Dušan Tadić,4
Chris Smalling,4
Ángel Di María,3
Theo Walcott,3
Craig Gardner,3
Nathan Dyer,3
Andy Carroll,3
Victor Anichebe,3
Bafétimbi Gomis,3
Brown Ideye,3
Séamus Coleman,3
Jamie Vardy,3
Charlie Adam,3
Stevan Jovetić,3
Didier Drogba,3
Jack Rodwell,3
Fraizer Campbell,3
Glenn Murray,3
Daniel Sturridge,3
Mesut Özil,3
Abel Hernández,3
Laurent Koscielny,3
Jeffrey Schlupp,3
Tom Cleverley,3
Wilfried Zaha,3
Riyad Mahrez,3
Ander Herrera,3
Morgan Schneiderlin,3
Adam Johnson,3
André Schürrle,3
Dame N'Doye,3
Aaron Ramsey,3
Victor Moses,2
Shane Long,2
Morgan Amalfitano,2
Joe Ledley,2
Jack Cork,2
Jack Wilshere,2
Sammy Ameobi,2
Steven N'Zonzi,2
Danny Welbeck,2
Matt Phillips,2
Eduardo Vargas,2
Andros Townsend,2
Rickie Lambert,2
Aleksandar Kolarov,2
Chris Brunt,2
Wayne Routledge,2
Jermain Defoe,2
Emmanuel Adebayor,2
Leon Osman,2
Wes Morgan,2
Alberto Moreno,2
Mark Noble,2
Phil Jagielka,2
Ryan Bertrand,2
Sebastian Larsson,2
Fernandinho,2
James Milner,2
Lazar Marković,2
Carlton Cole,2
Yoan Gouffran,2
Victor Wanyama,2
James McCarthy,2
Marouane Chamakh,2
Samir Nasri,2
Bojan,2
Frank Lampard,2
Samuel Eto'o,2
Andreas Weimann,2
Craig Dawson,2
Cesc Fàbregas,2
Scott Arfield,2
Ahmed Elmohamady,2
James Chester,2
James Morrison,2
Aaron Cresswell,2
Mauro Zárate,2
Eljero Elia,2
Eric Dier,1
Sone Aluko,1
Emre Can,1
Rolando Aarons,1
Alex Oxlade-Chamberlain,1
Danny Rose,1
Nélson Oliveira,1
Gabriel Obertan,1
Paul Konchesky,1
Scott Dann,1
Fernando,1
Stephen Quinn,1
Ramires,1
Toby Alderweireld,1
Sandro,1
Steven Taylor,1
Aaron Lennon,1
Scott Sinclair,1
Jan Vertonghen,1
Fabio Borini,1
Jefferson Montero,1
Marc Albrighton,1
Paul McShane,1
Emmanuel Rivière,1
Pablo Zabaleta,1
Jonjo Shelvey,1
Aiden McGeady,1
Jores Okore,1
Calum Chambers,1
Stéphane Sessègnon,1
Gareth McAuley,1
James Tomkins,1
Willian,1
Ciaran Clark,1
Clint Hill,1
Ashley Young,1
Brede Hangeland,1
Varela,1
Leighton Baines,1
Arouna Koné,1
Andrej Kramarić,1
Darren Fletcher,1
Mousa Dembélé,1
Lee Cattermole,1
Jake Livermore,1
Joleon Lescott,1
Alan Hutton,1
Ben Mee,1
Ryan Mason,1
Ryan Shawcross,1
Nemanja Matić,1
Fabricio Coloccini,1
Soldado,1
Tomáš Rosický,1
James McArthur,1
Mathieu Debuchy,1
Gastón Ramírez,1
Danny Graham,1
Nathaniel Clyne,1
Ross Barkley,1
James Ward-Prowse,1
Jonas Olsson,1
Winston Reid,1
Michael Carrick,1
Joe Allen,1
Gary Cahill,1
Bobby Zamora,1
