player,goals
Ruud van Nistelrooy,18
Mark Viduka,16
Thierry Henry,16
Michael Owen,15
James Beattie,13
Robert Pirés,11
Alan Shearer,11
Kevin Campbell,10
Eiður Guðjohnsen,9
Trevor Sinclair,9
Robbie Keane,9
Damien Duff,9
Sylvain Wiltord,9
Paul Scholes,8
Nicolas Anelka,8
Ole Gunnar Solskjær,7
Gianfranco Zola,7
Jason Euell,7
Harry Kewell,7
Milan Baroš,7
Jimmy Floyd Hasselbaink,6
Tomasz Radzinski,6
Dion Dublin,6
Massimo Maccarone,6
Craig Bellamy,6
Szilárd Németh,6
Danny Murphy,6
Michael Ricketts,6
Paolo Di Canio,6
Teddy Sheringham,6
Henrik Pedersen,6
Ryan Giggs,6
Andy Cole,6
Scott Dobie,5
Danny Dichio,5
Dwight Yorke,5
Geremi,5
John Arne Riise,5
Steed Malbranque,5
David Dunn,5
Kevin Phillips,5
Jay Jay Okocha,5
David Beckham,4
Shaun Goater,4
Nolberto Solano,4
Christophe Dugarry,4
Shaun Bartlett,4
Frédéric Kanouté,4
Clinton Morrison,4
Brett Ormerod,4
Les Ferdinand,4
David Unsworth,4
Jason Koumas,4
Brian McBride,4
Steve Watson,4
Lee Hendrie,4
Marcus Allbäck,4
Simon Davies,4
William Gallas,4
Laurent Robert,4
Tore André Flo,4
Freddie Ljungberg,4
David Thompson,4
Youri Djorkaeff,3
Louis Saha,3
Facundo Sava,3
Steven Gerrard,3
Marc-Vivien Foé,3
Nwankwo Kanu,3
Lee Carsley,3
Jermaine Pennant,3
Patrick Vieira,3
Wayne Rooney,3
Diego Forlán,3
Paul Devlin,3
Scott Parker,3
Lee Bowyer,3
Juninho Paulista,3
Emile Heskey,3
Sylvain Legwinski,3
Joe Cole,3
Malcolm Christie,3
Claus Jensen,3
Ian Harte,3
Dennis Bergkamp,3
Darius Vassell,3
Paul Konchesky,3
Neil Clement,3
Jermain Defoe,2
Darren Moore,2
James Milner,2
Shola Ameobi,2
Juan Sebastián Verón,2
Ugo Ehiogu,2
Ricardo Gardner,2
Lauren,2
Richard Rufus,2
Robbie Fowler,2
Jermaine Jenas,2
Steve Marlet,2
Jovan Kirovski,2
Fabrice Fernandes,2
Gustavo Poyet,2
Boa Morte,2
Kieron Dyer,2
Junichi Inamoto,2
Christian Ziege,2
Gareth Barry,2
Jesper Grønkjær,2
Jihai Sun,2
Ali Benarbia,2
Graeme Le Saux,2
Stephen Howey,2
Dietmar Hamann,2
El-Hadji Diouf,2
Nick Barmby,2
Francis Jeffers,2
Jamie Redknapp,2
Kevin Lisbie,2
Sol Campbell,2
Martin Taylor,2
Joseph-Désiré Job,2
Kolo Touré,2
Lomana LuaLua,2
Chris Riggott,2
Robbie Savage,2
Mario Stanić,2
Ian Pearce,2
Stern John,2
Anders Svensson,2
Frank Lampard,2
Øyvind Leonhardsen,2
Igor Bališ,2
Michael Svensson,1
Niclas Jensen,1
David Bellion,1
Darren Purse,1
Pierre Womé,1
Juan Pablo Ángel,1
Andy Todd,1
Boudewijn Zenden,1
Mikaël Silvestre,1
Jeff Kenna,1
Michael Proctor,1
Jason McAteer,1
Noel Whelan,1
Olivier Bernard,1
Geoff Horsfield,1
Kevin Kilbane,1
Gary Flitcroft,1
Jason Wilcox,1
Agustín Delgado,1
Hakan Şükür,1
Mauricio Taricco,1
Joey Barton,1
Sean Thornton,1
Marcus Stewart,1
Ulises De la Cruz,1
Teddy Lučić,1
Jason Roberts,1
Stephen Clemence,1
Michael Gray,1
Barry Hayles,1
David Sommeil,1
Jonathan Greening,1
Eirik Bakke,1
Bruno N'Gotty,1
Iván Campo,1
Stan Lazaridis,1
Jonatan Johansson,1
Sami Hyypiä,1
Gary Doherty,1
Édouard Cissé,1
Eyal Berkovic,1
Danny Mills,1
Bryan Hughes,1
Phil Neville,1
Henning Berg,1
Alan Smith,1
Chris Marsden,1
Alen Bokšić,1
Carlton Cole,1
Edu Gaspar,1
Franck Queudrue,1
Gary Rowett,1
Pascal Cygan,1
Seth Johnson,1
Michael Carrick,1
Tugay Kerimoğlu,1
Damien Johnson,1
Gary Speed,1
Celestine Babayaro,1
Aaron Hughes,1
Lee Clark,1
Thomas Gravesen,1
Martin Djetou,1
Egil Østenstad,1
Thomas Hitzlsperger,1
Radostin Kishishev,1
Shaun Wright-Phillips,1
Ashley Cole,1
Marians Pahars,1
Sean Gregan,1
Matthew Etherington,1
Kevin Nolan,1
Gareth Farrelly,1
Marcel Desailly,1
Mark Fish,1
Salif Diao,1
Craig Hignett,1
Chris Bart-Williams,1
Jóhannes Guðjónsson,1
Jonathan Woodgate,1
David Weir,1
Per Frandsen,1
