player,goals
Luis Suárez,19
Robin van Persie,17
Christian Benteke,14
Gareth Bale,14
Michu,14
Dimitar Berbatov,13
Rickie Lambert,12
Frank Lampard,12
Wayne Rooney,11
Demba Ba,10
Romelu Lukaku,10
Theo Walcott,10
Sergio Agüero,10
Jermain Defoe,10
Mata,9
Lukas Podolski,9
Marouane Fellaini,8
Daniel Sturridge,8
Adam Le Fondre,8
Santi Cazorla,8
Steven Fletcher,8
Gabriel Agbonlahor,7
Shane Long,7
Olivier Giroud,7
Edin Džeko,7
Eden Hazard,7
Fernando Torres,7
Javier Hernández,6
Jon Walters,6
Steven Gerrard,6
Steven Pienaar,5
Stéphane Sessègnon,5
Franco Di Santo,5
Jason Puncheon,5
Kevin Nolan,5
Peter Crouch,5
Jordan Henderson,5
Jay Rodriguez,5
Yaya Touré,5
Adam Johnson,5
Kevin Mirallas,5
Victor Anichebe,5
Jan Vertonghen,5
Loïc Rémy,5
Clint Dempsey,5
Grant Holt,5
Papiss Demba Cissé,4
Pavel Pogrebnyak,4
Bobby Zamora,4
Robert Snodgrass,4
Morgan Schneiderlin,4
Yohan Cabaye,4
Adel Taarabt,4
Emmerson Boyce,4
Gastón Ramírez,4
Wayne Routledge,4
Leon Osman,4
Patrice Evra,4
Carlos Tévez,4
Anthony Pilkington,4
Andreas Weimann,4
Bryan Ruiz,4
Mikel Arteta,4
Andy Carroll,4
Emmanuel Adebayor,4
Branislav Ivanović,4
Shaun Maloney,4
Hal Robson-Kanu,4
Shinji Kagawa,4
Djibril Cissé,3
David Silva,3
Arouna Koné,3
Charlie Adam,3
Alexander Kačaniklić,3
Wes Hoolahan,3
Oscar,3
Kenwyne Jones,3
Àngel Rangel,3
Michael Turner,3
Leighton Baines,3
James Milner,3
Jimmy Kébé,3
Jonathan de Guzmán,3
Aaron Lennon,3
Hatem Ben Arfa,3
Stewart Downing,3
Peter Odemwingie,3
Craig Gardner,3
Ramires,3
Nathan Dyer,3
Hugo Rodallega,3
Nikica Jelavić,3
John Terry,3
Mark Noble,3
James Morrison,3
Coutinho,3
Joe Cole,3
James McCarthy,3
Mladen Petrić,3
Jonny Evans,3
James McArthur,3
Steven Naismith,3
Iván Ramis,2
Matthew Jarvis,2
Zoltán Gera,2
Danny Graham,2
Steven Davis,2
José Enrique,2
Joey O'Brien,2
Phil Jagielka,2
Tomáš Rosický,2
Per Mertesacker,2
Moussa Sissoko,2
David Luiz,2
Tom Cleverley,2
Jack Collison,2
Daniel Agger,2
Chris Brunt,2
Raheem Sterling,2
Gervinho,2
Carlton Cole,2
Ricardo Vaz Tê,2
Alexander Büttner,2
Garath McCleary,2
Jack Rodwell,2
Charles N'Zogbia,2
Steven Caulker,2
Andros Townsend,2
Martin Škrtel,2
Yoan Gouffran,2
Momo Diamé,2
Michael Kightly,2
Pablo Hernández,2
James McClean,2
Luke Moore,2
Rafael,2
Adam Lallana,2
Jordi Gómez,2
Damien Duff,2
Ron Vlaar,2
Junior Hoilett,2
Gary Cahill,2
Russell Martin,2
Jamie Mackie,2
James Perch,1
Steven Whittaker,1
Davide Santon,1
Aaron Ramsey,1
Matthew Lowton,1
Sandro,1
Fabio Borini,1
Nathaniel Clyne,1
Mario Balotelli,1
Glen Johnson,1
Ryan Giggs,1
Paul Scholes,1
Marc-Antoine Fortuné,1
Carlos Cuéllar,1
Michael Carrick,1
Nuri Şahin,1
Mikele Leigertwood,1
Michael Dawson,1
Phil Bardsley,1
Matthew Upson,1
Darren Bent,1
Danny Rose,1
Ben Watson,1
Maynor Figueroa,1
Danny Welbeck,1
Laurent Koscielny,1
Sébastien Bassong,1
William Gallas,1
Steven N'Zonzi,1
José Fonte,1
Simeon Jackson,1
Elliott Bennett,1
Sylvain Marveaux,1
Antonio Valencia,1
Chris Baird,1
Itay Shechter,1
Ryan Bennett,1
Nacho Monreal,1
Ryan Nelsen,1
John Arne Riise,1
Winston Reid,1
Sean Morrison,1
Callum McManaman,1
Gary Caldwell,1
Jean Beausejour,1
Benoît Assou-Ekotto,1
Gary O'Neil,1
Danny Fox,1
Mousa Dembélé,1
Giorgios Karagounis,1
Darren Fletcher,1
Gareth McAuley,1
Robert Huth,1
Kaspars Gorkšs,1
Gylfi Sigurðsson,1
Ángelo Henríquez,1
Samir Nasri,1
Karim El Ahmadi,1
Ciaran Clark,1
Jermaine Jenas,1
Danny Guthrie,1
Alex Oxlade-Chamberlain,1
Nani,1
Brett Holman,1
Vincent Kompany,1
Gaël Bigirimana,1
Jonny Howson,1
Noel Hunt,1
Dean Whitehead,1
Roger Espinoza,1
Ryan Shawcross,1
Jay Bothroyd,1
Ben Davies,1
Anderson,1
Aleksandar Kolarov,1
Fraizer Campbell,1
Sebastian Larsson,1
Steve Morison,1
Dwight Tiendalli,1
Shaun Wright-Phillips,1
Nemanja Vidić,1
John O'Shea,1
Victor Moses,1
Billy Jones,1
Steven Sidwell,1
