player,goals
Ruud van Nistelrooy,17
Thierry Henry,15
Frank Lampard,15
Marlon Harewood,14
Henri Camara,12
Robbie Keane,11
Wayne Rooney,11
Yakubu Ayegbeni,10
Didier Drogba,10
Darren Bent,9
Brian McBride,9
Alan Shearer,9
Hernán Crespo,9
Mido,8
Morten Gamst Pedersen,8
Craig Bellamy,8
Stylianos Giannakopoulos,8
James Beattie,7
Luke Moore,7
Joe Cole,7
Steven Gerrard,7
Kevin Davies,6
Jason Roberts,6
Kevin Nolan,6
Robert Pirés,6
Mark Viduka,6
Darius Vassell,6
Jermain Defoe,6
Jimmy Floyd Hasselbaink,6
Joey Barton,6
Collins John,6
Boa Morte,5
Nathan Ellington,5
Steed Malbranque,5
Nolberto Solano,5
Heiðar Helguson,5
Lomana LuaLua,5
Michael Owen,5
Robbie Fowler,5
Cristiano Ronaldo,5
Louis Saha,5
Jermaine Jenas,5
Liam Ridgewell,5
Luis García,5
James McFadden,5
Djibril Cissé,5
Gary O'Neil,5
Teddy Sheringham,5
Andy Cole,5
Shola Ameobi,4
Svetoslav Todorov,4
Arjen Robben,4
Peter Crouch,4
Kevin Phillips,4
Jiří Jarošík,4
Morientes,4
Danny Murphy,4
Paul Dickov,4
Geoff Horsfield,4
Lee McCulloch,4
Matthew Taylor,4
Bobby Zamora,4
Andreas Johansson,4
Georgios Samaras,4
Jimmy Bullard,3
Tommy Miller,3
John Terry,3
Ricardo Vaz Tê,3
Tim Cahill,3
Nwankwo Kanu,3
Nigel Reo-Coker,3
Shefki Kuqi,3
Milan Baroš,3
Charles N'Zogbia,3
Paul Scharner,3
Ledley King,3
Reyes,3
Marcus Bent,3
Darren Ambrose,3
Robin van Persie,3
Leon Osman,3
Steven Davis,3
William Gallas,3
Emile Heskey,3
Emmanuel Adebayor,3
Gary Speed,3
Ryan Giggs,2
Nicky Butt,2
Sol Campbell,2
Radhi Jaïdi,2
Philippe Senderos,2
Anthony Le Tallec,2
Xabi Alonso,2
Rio Ferdinand,2
Massimo Maccarone,2
Yossi Benayoun,2
Steven Reid,2
Eiður Guðjohnsen,2
Dean Ashton,2
Michael Carrick,2
Kevin Campbell,2
Walter Pandiani,2
Papa Bouba Diop,2
Mendieta,2
Michael Essien,2
Andy Todd,2
Aaron Lennon,2
Richard Dunne,2
Ji-Sung Park,2
Curtis Davies,2
James Collins,2
George Boateng,2
Tomasz Radzinski,2
Jonathan Greening,2
Claus Jensen,2
Franck Queudrue,2
David Thompson,2
Emre Belözoğlu,2
Liam Lawrence,2
Fábio Rochemback,2
Dean Whitehead,2
Darío Silva,2
Bryan Hughes,2
Pascal Chimbonda,1
Gary Cahill,1
Alan Stubbs,1
Matthew Upson,1
Anton Ferdinand,1
Joseph Yobo,1
Gavin McCann,1
Gary Breen,1
John O'Shea,1
Jamie Clapham,1
Claudio Reyna,1
Iván Campo,1
Robbie Savage,1
Paul Scholes,1
Julian Gray,1
Shaun Newton,1
Williams Martínez,1
Lee Croft,1
Harry Kewell,1
Gareth Barry,1
David Sommeil,1
Steve Watson,1
Juan Pablo Ángel,1
Jon Stead,1
James Morrison,1
Jhon Viáfara,1
Adam Johnson,1
Benjani,1
Mikaël Silvestre,1
Justin Hoyte,1
David Dunn,1
John Arne Riise,1
Brett Emerton,1
Jason Euell,1
Danny Mills,1
Julio Arca,1
Abdoulaye Faye,1
Matt Holland,1
Laurent Robert,1
Boudewijn Zenden,1
Bradley Wright-Phillips,1
Dennis Bergkamp,1
Gabriel Agbonlahor,1
Jerome Thomas,1
Damien Duff,1
Zvonimir Vukić,1
Shaun Bartlett,1
Jay Jay Okocha,1
Andy Gray,1
Mark Delaney,1
Zoltán Gera,1
Ricardo Carvalho,1
Lucas Neill,1
David Weir,1
Kevin Kyle,1
Titus Bramble,1
Pascal Cygan,1
Sami Hyypiä,1
Gilberto Silva,1
Darren Carter,1
Stewart Downing,1
Chris Sutton,1
Nigel Quashie,1
Edgar Davids,1
Diomansy Kamara,1
Khalilou Fadiga,1
Michael Chopra,1
Kieran Richardson,1
El-Hadji Diouf,1
James Milner,1
Sean Davis,1
Jared Borgetti,1
Tugay Kerimoğlu,1
Jay Bothroyd,1
Pedro Mendes,1
Damien Francis,1
Mario Melchiot,1
Freddie Ljungberg,1
Emanuel Pogatetz,1
Jermaine Pennant,1
Cesc Fàbregas,1
Chris Brown,1
Martin Albrechtsen,1
Dennis Rommedahl,1
Lee Bowyer,1
Trevor Sinclair,1
Neil Clement,1
David Bentley,1
Lee Hendrie,1
Geremi,1
Mikael Forssell,1
Aliaksandr Hleb,1
Antoine Sibierski,1
Mikel Arteta,1
Darren Fletcher,1
Albert Riera,1
Carl Fletcher,1
Stuart Parnaby,1
Luke Young,1
