player,goals
Sergio Agüero,21
Robin van Persie,21
Wayne Rooney,20
Yakubu Ayegbeni,13
Demba Ba,13
Emmanuel Adebayor,13
Grant Holt,12
Clint Dempsey,11
Papiss Demba Cissé,11
Daniel Sturridge,10
Gareth Bale,10
Peter Crouch,9
Frank Lampard,8
Steven Fletcher,8
Peter Odemwingie,8
Heiðar Helguson,8
Darren Bent,8
Mario Balotelli,8
Matthew Jarvis,7
Edin Džeko,7
Danny Graham,7
Javier Hernández,7
Theo Walcott,7
Jermain Defoe,7
Rafael van der Vaart,7
Nikica Jelavić,7
Danny Welbeck,6
Jon Walters,6
John Terry,6
Steve Morison,6
Scott Sinclair,6
Nani,6
Sebastian Larsson,6
Shane Long,6
Gylfi Sigurðsson,5
Stéphane Sessègnon,5
Franco Di Santo,5
Jamie Mackie,5
Anthony Pilkington,5
Junior Hoilett,5
Yaya Touré,5
Luis Suárez,5
Kevin Davies,5
David Silva,5
James McClean,5
Dimitar Berbatov,5
Craig Bellamy,5
Nicklas Bendtner,5
Fernando Torres,5
Hatem Ben Arfa,4
Maximiliano Rodríguez,4
Gervinho,4
Martin Petrov,4
Bobby Zamora,4
Mikel Arteta,4
Samir Nasri,4
Ramires,4
Nathan Dyer,4
Nigel Reo-Coker,4
Steven Gerrard,4
Paul Scholes,4
Ivan Klasnić,4
Victor Moses,4
Pavel Pogrebnyak,4
Marouane Fellaini,3
Andrew Surman,3
Michael Kightly,3
Mark Davies,3
Luka Modrić,3
Emmerson Boyce,3
Leighton Baines,3
Djibril Cissé,3
Morten Gamst Pedersen,3
Joey Barton,3
Ashley Young,3
Louis Saha,3
Gabriel Agbonlahor,3
Thomas Vermaelen,3
Leon Best,3
Wes Hoolahan,3
Mata,3
Jordi Gómez,3
David Edwards,3
Steven Pienaar,3
Joe Allen,3
Danny Murphy,3
Gary Cahill,3
Carlos Tévez,3
Yossi Benayoun,3
Mauro Fórmica,3
David N'Gog,3
Chris Eagles,3
Didier Drogba,3
Andy Carroll,3
Leon Osman,3
Yohan Cabaye,3
Vincent Kompany,3
Laurent Koscielny,2
Charlie Adam,2
Dirk Kuyt,2
Matthew Etherington,2
Royston Drenthe,2
Ryan Shawcross,2
Adam Johnson,2
Marc-Antoine Fortuné,2
Ji-Sung Park,2
Christopher Samba,2
Graham Dorrans,2
David Goodwillie,2
Stilian Petrov,2
Victor Anichebe,2
Bryan Ruiz,2
Tim Cahill,2
André Santos,2
Kyle Walker,2
Russell Martin,2
Chris Brunt,2
Paul Scharner,2
Raúl Meireles,2
Steven N'Zonzi,2
Jay Bothroyd,2
Craig Gardner,2
Gary Caldwell,2
David Luiz,2
Marc Albrighton,2
Ryan Taylor,2
James McArthur,2
Kevin Doyle,2
Martin Škrtel,2
Robert Huth,2
Cameron Jerome,2
Aaron Ramsey,2
Jonas Olsson,2
Anderson,2
Jordan Henderson,2
Andy Johnson,2
Stephen Hunt,2
Adel Taarabt,2
Ákos Buzsáky,2
Damien Duff,2
Branislav Ivanović,2
Stephen Ward,2
Shaun Maloney,2
Benoît Assou-Ekotto,2
Aaron Lennon,2
Charles N'Zogbia,2
Robbie Keane,2
James Milner,2
Simeon Jackson,2
Antonio Valencia,2
Stephen Warnock,2
James Morrison,2
Hugo Rodallega,2
Joleon Lescott,2
Jerome Thomas,1
Taye Taïwo,1
Momo Diamé,1
Jonás Gutiérrez,1
Matthew Upson,1
Kieran Richardson,1
Youssuf Mulumbu,1
Tommy Smith,1
Jack Rodwell,1
Ben Watson,1
Orlandi,1
Apostolos Vellios,1
Antolín Alcaráz,1
Phil Jones,1
Emile Heskey,1
Kieran Gibbs,1
Chris Herd,1
Luke Young,1
Rory Delap,1
Leon Barnett,1
Leroy Lita,1
Phil Bardsley,1
Daniel Agger,1
Denis Stracqualursi,1
Jonny Evans,1
Jonjo Shelvey,1
Niko Kranjčar,1
Alex Oxlade-Chamberlain,1
Andreas Weimann,1
Elliott Bennett,1
Scott Dann,1
Dedryck Boyata,1
Tim Howard,1
Sam Ricketts,1
Aleksandar Kolarov,1
Shaun Derry,1
Fraizer Campbell,1
David Wheater,1
Magaye Gueye,1
Orlando Sá,1
Stephen Ireland,1
Titus Bramble,1
Rubén Rochina,1
Phil Jagielka,1
Simon Vukčević,1
Barry Bannan,1
Ahmed Elmohamady,1
Tomáš Rosický,1
James Collins,1
Bosingwa,1
Luke Moore,1
Fabrice Muamba,1
Roman Pavlyuchenko,1
John Heitinga,1
Florent Malouda,1
Darron Gibson,1
Wayne Routledge,1
Glenn Whelan,1
Chris Smalling,1
Alejandro Faurlín,1
Samba Diakité,1
David Dunn,1
Sebastián Coates,1
Michael Carrick,1
Grétar Steinsson,1
Steven Reid,1
Nicolas Anelka,1
Jamie O'Hara,1
Younès Kaboul,1
Aaron Wilbraham,1
Jack Colback,1
