player,goals
Thierry Henry,18
Andy Johnson,17
Yakubu Ayegbeni,12
Jermain Defoe,11
Robert Pirés,11
Jimmy Floyd Hasselbaink,10
Freddie Ljungberg,9
Kevin Phillips,9
Andy Cole,9
Frank Lampard,8
Tim Cahill,8
Wayne Rooney,8
Peter Crouch,8
El-Hadji Diouf,8
Milan Baroš,8
Shaun Wright-Phillips,7
Reyes,7
Eiður Guðjohnsen,7
Nicolas Anelka,7
Paul Scholes,7
Emile Heskey,7
Paul Dickov,7
Steven Gerrard,7
Leon McKenzie,6
Kevin Davies,6
Damien Duff,6
Didier Drogba,6
Damien Francis,6
Boa Morte,6
Robbie Keane,6
Luis García,6
Darren Huckerby,6
Juan Pablo Ángel,6
Jay Jay Okocha,6
Frédéric Kanouté,6
Zoltán Gera,6
Duncan Ferguson,5
Patrick Vieira,5
Arjen Robben,5
Robbie Fowler,5
Gareth Barry,5
Dennis Bergkamp,5
John Arne Riise,5
Ruud van Nistelrooy,5
Nolberto Solano,5
Steed Malbranque,5
Patrick Kluivert,5
Joe Cole,5
Alan Shearer,5
Henrik Pedersen,5
Morten Gamst Pedersen,4
Clinton Morrison,4
Lee Hendrie,4
Robert Earnshaw,4
Shaun Bartlett,4
Lee Carsley,4
Talal El-Karkouri,4
Leon Osman,4
Jonatan Johansson,4
Stylianos Giannakopoulos,4
Cristiano Ronaldo,4
Ryan Giggs,4
Dean Ashton,4
Boudewijn Zenden,4
Radhi Jaïdi,4
Mark Viduka,4
Thomas Gravesen,4
Marcus Bent,3
Djibril Cissé,3
Patrik Berger,3
Szilárd Németh,3
Robin van Persie,3
Antoine Sibierski,3
Tiago,3
Joseph-Désiré Job,3
Diomansy Kamara,3
Stewart Downing,3
John Terry,3
Henri Camara,3
Kevin Nolan,3
Kieron Dyer,3
Craig Bellamy,3
Jerome Thomas,3
Joonas Kolkka,3
Kieran Richardson,3
Alan Smith,3
Franck Queudrue,3
Matt Holland,3
Darren Ambrose,3
Laurent Robert,3
Anders Svensson,3
Morientes,3
Lomana LuaLua,3
Brett Emerton,3
Francis Jeffers,3
Robbie Savage,3
Tomasz Radzinski,3
Carlton Cole,3
Collins John,3
Steve Stone,3
James Beattie,3
Ledley King,2
Arjan de Zeeuw,2
Gary O'Neil,2
Mikaël Silvestre,2
Papa Bouba Diop,2
Mido,2
Gary Doherty,2
Dwight Yorke,2
Jon Stead,2
Walter Pandiani,2
Matt Jansen,2
Barry Ferguson,2
David Dunn,2
David Bentley,2
Kevin Campbell,2
Luke Young,2
William Gallas,2
Kiki Musampa,2
Brian McBride,2
Neil Clement,2
Steven Reid,2
Paul Gallagher,2
Ashley Cole,2
George Boateng,2
Michael Hughes,2
Fitz Hall,2
Aki Riihilahti,2
Darren Fletcher,2
Sami Hyypiä,2
Danny Murphy,2
Danny Granville,2
Mateja Kežman,2
Matthew Upson,2
David Unsworth,2
Mathias Svensson,2
Andreas Jakobsson,2
Darius Vassell,2
Olof Mellberg,2
Darren Anderton,2
Shola Ameobi,2
Geoff Horsfield,2
Stephen Carr,1
Thimothée Atouba,1
Youssef Safri,1
Mark Wilson,1
Kevin Kilbane,1
Jon Macken,1
David Bellion,1
Lauren,1
Zat Knight,1
Paul Konchesky,1
Craig Fleming,1
Julian Gray,1
Reto Ziegler,1
Wes Brown,1
Jason Euell,1
Darren Powell,1
Paul McVeigh,1
Wayne Routledge,1
Andy Reid,1
Steven Davis,1
Joey Barton,1
Liam Ridgewell,1
Linvoy Primus,1
David Prutton,1
Cesc Fàbregas,1
Harry Kewell,1
Kevin Lisbie,1
Matt Oakley,1
Simon Charlton,1
Dexter Blackstock,1
Sylvain Legwinski,1
Eyal Berkovic,1
Scott Dobie,1
Bryan Hughes,1
Xabi Alonso,1
Edu Gaspar,1
Alan Stubbs,1
Lee Bowyer,1
Dennis Rommedahl,1
Nicola Ventola,1
Pedro Mendes,1
Peter Whittingham,1
Mario Melchiot,1
Robbie Elliott,1
Lucas Neill,1
Mikele Leigertwood,1
Aaron Hughes,1
Nicky Butt,1
Sol Campbell,1
Dougie Freedman,1
Claudio Reyna,1
Andy Todd,1
Luke Moore,1
Trevor Sinclair,1
Muzzy Izzet,1
Louis Saha,1
Michael Brown,1
Mikel Arteta,1
Martin Laursen,1
Gary Speed,1
Hierro,1
Noé Pamarot,1
Jay Bothroyd,1
Craig Short,1
Robbie Blake,1
Jonathan Fortune,1
Ricardo Carvalho,1
Florent Sinama-Pongolle,1
Thomas Hitzlsperger,1
Darren Carter,1
Mark Hudson,1
Nigel Quashie,1
Carlos Bocanegra,1
Sylvain Distin,1
James Milner,1
Dean Marney,1
Jermaine Jenas,1
Paul Bosvelt,1
Roy Keane,1
Ricardo Fuller,1
Nwankwo Kanu,1
Willo Flood,1
Chris Riggott,1
Erik Edman,1
