player,goals
Darren Bent,20
Didier Drogba,19
Wayne Rooney,18
Carlos Tévez,16
Jermain Defoe,15
Fernando Torres,15
Frank Lampard,12
Louis Saha,11
Dimitar Berbatov,10
Nicolas Anelka,10
Kenwyne Jones,9
Florent Malouda,9
Cesc Fàbregas,9
Robin van Persie,8
Carlton Cole,8
Emmanuel Adebayor,8
Steven Fletcher,8
Gabriel Agbonlahor,8
Steven Gerrard,8
Hugo Rodallega,8
John Carew,8
Kevin Doyle,7
Ivan Klasnić,7
Cameron Jerome,7
David Dunn,7
Graham Alexander,7
Craig Bellamy,6
Peter Crouch,6
Damien Duff,6
Kevin Davies,6
Stephen Hunt,6
Bobby Zamora,6
James Milner,6
Yossi Benayoun,5
Alessandro Diamanti,5
Ashley Young,5
Robbie Keane,5
Andrey Arshavin,5
Tim Cahill,5
Danny Murphy,5
Antonio Valencia,5
David Nugent,5
Aruna Dindane,4
Thomas Vermaelen,4
Yakubu Ayegbeni,4
Michael Ballack,4
Jody Craddock,4
Diniyar Bilyaletdinov,4
James McFadden,4
Ryan Nelsen,4
Martin Petrov,4
Denilson,4
Abou Diaby,4
Matthew Taylor,4
Salomon Kalou,4
Lee Bowyer,4
Jimmy Bullard,3
Matthew Upson,3
Dirk Kuyt,3
Frédéric Piquionne,3
Ricardo Fuller,3
Aaron Ramsey,3
Mikel Arteta,3
Ashley Cole,3
Jason Roberts,3
Matthew Jarvis,3
Luka Modrić,3
Matthew Etherington,3
Emmerson Boyce,3
Roque Santa Cruz,3
Tamir Cohen,3
Richard Dunne,3
Kevin-Prince Boateng,3
Christopher Samba,3
Tuncay Şanlı,3
Paul Scharner,3
Fraizer Campbell,3
Guillermo Franco,3
Eduardo,3
Johan Elmander,3
Sebastian Larsson,3
Géovanni,3
David N'Gog,3
Charles N'Zogbia,3
Michael Essien,3
El-Hadji Diouf,3
Morten Gamst Pedersen,3
Carlos Cuéllar,2
Craig Fagan,2
Scott Parker,2
Aaron Lennon,2
Nicklas Bendtner,2
Martin Paterson,2
Wade Elliott,2
Nenad Milijaš,2
Theo Walcott,2
Ryan Shawcross,2
Michael Carrick,2
Paul Scholes,2
Emile Heskey,2
Nadir Belhadj,2
Jack Collison,2
Stewart Downing,2
Gareth Bale,2
Michael Brown,2
Deco,2
Robbie Blake,2
Shaun Wright-Phillips,2
Vincent Kompany,2
Manuel Da Costa,2
Mark Noble,2
Christian Benítez,2
Gary Caldwell,2
Leon Osman,2
Gary Cahill,2
Michael Dawson,2
Ryan Giggs,2
Glen Johnson,2
Niko Kranjčar,2
Hassan Yebda,2
Steven N'Zonzi,2
Ilan,2
Jan Vennegoor of Hesselink,2
Clint Dempsey,2
Robert Huth,2
Caleb Folan,2
Chung-yong Lee,2
James Beattie,2
Ji-Sung Park,2
Darren Fletcher,2
Dan Gosling,2
Joe Cole,2
Ledley King,2
Roman Pavlyuchenko,2
Zoltán Gera,2
Abdoulaye Faye,2
Dave Kitson,2
Mikaël Silvestre,1
Danny Rose,1
Younès Kaboul,1
Alberto Aquilani,1
Andy Reid,1
John Mensah,1
Wilson Palacios,1
Danny Higginbotham,1
Gareth Barry,1
David Elm,1
Momo Diamé,1
Michael Turner,1
Glenn Whelan,1
Kamel Ghilas,1
Paul Konchesky,1
Steven Thompson,1
Victor Anichebe,1
Junior Stanislas,1
Eiður Guðjohnsen,1
Kevin Kilbane,1
Zat Knight,1
Jason Koumas,1
Fabrice Muamba,1
Ronald Zubar,1
Patrick Vieira,1
Benny McCarthy,1
Ryan Babel,1
Liam Ridgewell,1
Andy Keogh,1
Jonathan Greening,1
Valon Behrami,1
Andy Dawson,1
Nani,1
Micah Richards,1
Nikola Kalinić,1
Kolo Touré,1
Jordan Henderson,1
James McCarthy,1
Mark Cullen,1
Hermann Hreiðarsson,1
Gaël Givet,1
Stefano Okaka,1
David Edwards,1
Joseph Yobo,1
Jamie O'Hara,1
John O'Shea,1
Erik Nevland,1
Steven Mouyokolo,1
Marouane Fellaini,1
Boudewijn Zenden,1
Maynor Figueroa,1
William Gallas,1
Vedran Ćorluka,1
Martin Škrtel,1
Jozy Altidore,1
Sébastien Bassong,1
Radoslav Kováč,1
Kieran Richardson,1
André Bikey,1
Darron Gibson,1
Sotirios Kyrgiakos,1
Ricardo Gardner,1
Garry O'Connor,1
Luis Jiménez,1
Danny Webber,1
David Bentley,1
Nedum Onuoha,1
John Terry,1
Javi Garrido,1
Rafael,1
Tom Cairney,1
Alex,1
David Jones,1
Jack Wilshere,1
Franco Di Santo,1
Victor Moses,1
Jack Cork,1
Jason Scotland,1
Boa Morte,1
Curtis Davies,1
Tom Huddlestone,1
Seyi Olofinjana,1
James Collins,1
Dean Marney,1
Richard Stearman,1
Landon Donovan,1
Mamady Sidibe,1
Brede Hangeland,1
Steven Caldwell,1
Fran Mérida,1
Danny Pugh,1
Adlène Guédioura,1
Stephen Ireland,1
Craig Gardner,1
Danny Fox,1
Maximiliano Rodríguez,1
Titus Bramble,1
George Boateng,1
Diomansy Kamara,1
Joleon Lescott,1
Jermaine Jenas,1
