player,goals
Cristiano Ronaldo,25
Fernando Torres,19
Roque Santa Cruz,16
Emmanuel Adebayor,16
Yakubu Ayegbeni,13
Robbie Keane,12
Dimitar Berbatov,12
Benjani,11
Frank Lampard,10
Nicolas Anelka,9
John Carew,9
Jermain Defoe,8
Carlos Tévez,8
Dave Kitson,8
Mikael Forssell,8
Wayne Rooney,8
Gabriel Agbonlahor,8
Didier Drogba,7
Gareth Barry,7
Joe Cole,7
Michael Owen,7
Stewart Downing,7
Benny McCarthy,7
Dean Ashton,7
Ashley Young,7
Cameron Jerome,6
Steven Gerrard,6
Obafemi Martins,6
Marcus Bent,6
Tim Cahill,6
Kenwyne Jones,6
Tuncay Şanlı,6
James McFadden,5
Simon Davies,5
Michael Ballack,5
Joleon Lescott,5
Darius Vassell,5
Danny Murphy,5
Mark Viduka,5
Michael Essien,5
David Bentley,5
Martin Laursen,5
Clint Dempsey,5
Kevin Doyle,4
Robin van Persie,4
Rolando Bianchi,4
Salomon Kalou,4
Eduardo,4
Nicklas Bendtner,4
John Utaka,4
Andriy Shevchenko,4
Theo Walcott,4
Elano,4
Jérémie Aliadiére,4
Brian McBride,4
Steed Malbranque,4
Carlton Cole,4
Sebastian Larsson,4
Yossi Benayoun,4
Jermaine Jenas,3
Denny Landzaat,3
Andy Johnson,3
Niko Kranjčar,3
Michael Chopra,3
Nwankwo Kanu,3
Morten Gamst Pedersen,3
Martin Petrov,3
Tom Huddlestone,3
Stephen Ireland,3
Diomansy Kamara,3
Andriy Voronin,3
Craig Gardner,3
Danny Higginbotham,3
Kenny Miller,3
Ryan Babel,3
Charles N'Zogbia,3
Stephen Hunt,3
David Healy,3
Emile Heskey,3
Afonso Alves,3
Paul Scharner,3
André Bikey,3
Hermann Hreiðarsson,3
Ryan Taylor,3
Kevin Davies,3
Matt Oakley,3
Peter Crouch,3
Shane Long,2
Alex,2
Nicky Butt,2
Freddie Ljungberg,2
Heiðar Helguson,2
Matthew Etherington,2
Gelson Fernandes,2
Philippe Senderos,2
James Milner,2
Aleksey Smertin,2
Kieran Richardson,2
Mark Noble,2
Dirk Kuyt,2
Ívar Ingimarsson,2
Mido,2
Émile Mpenza,2
Lee Bowyer,2
Darren Bent,2
Claudio Pizarro,2
Geremi,2
Pascal Chimbonda,2
William Gallas,2
Antonio Valencia,2
Antoine Sibierski,2
Gareth Bale,2
Mauro Zárate,2
El-Hadji Diouf,2
Daryl Murphy,2
Olivier Kapo,2
Anton Ferdinand,2
James Harper,2
Owen Hargreaves,2
Xabi Alonso,2
Jason Roberts,2
Phil Neville,2
Belletti,2
Louis Saha,2
Nolberto Solano,2
David Wheater,2
Nani,2
Géovanni,2
Ross Wallace,2
Gary McSheffrey,2
Cesc Fàbregas,2
Matt Derbyshire,2
Leon Osman,2
Sulley Ali Muntari,2
Titus Bramble,2
Aaron Lennon,2
Shaun Maloney,2
Mathieu Flamini,2
Jay McEveley,2
Victor Anichebe,1
Abou Diaby,1
Kalifa Cissé,1
Mikel Arteta,1
Michael Dawson,1
Kevin Kilbane,1
Marlon Harewood,1
Younès Kaboul,1
Michael Carrick,1
Aliaksandr Hleb,1
Ji-Sung Park,1
Anthony Gardner,1
Matthew Taylor,1
Zat Knight,1
Gavin McCann,1
David Murphy,1
Lewin Nyatanga,1
Christopher Samba,1
Marek Matějovský,1
Adam Johnson,1
Robert Earnshaw,1
Wes Brown,1
Rade Prica,1
Liam Ridgewell,1
Rio Ferdinand,1
Wilfred Bouma,1
Jermaine Pennant,1
Daniel Sturridge,1
Javier Mascherano,1
Nedum Onuoha,1
Caçapa,1
Julio Arca,1
Brett Emerton,1
Kolo Touré,1
Marlon King,1
David Dunn,1
Abdoulaye Faye,1
Garry O'Connor,1
Alan Stubbs,1
Dwight Yorke,1
Emanuel Villa,1
Florent Malouda,1
Sami Hyypiä,1
Steven Pienaar,1
Tyrone Mears,1
Ryan Giggs,1
Fábio Aurélio,1
Sol Campbell,1
Tamir Cohen,1
Luke Young,1
Hameur Bouazza,1
Steven Taylor,1
Michael Johnson,1
Luke Moore,1
George McCartney,1
Olof Mellberg,1
Fabrice Muamba,1
Noé Pamarot,1
Gary Speed,1
Curtis Davies,1
Bacary Sagna,1
Ricardo Carvalho,1
Phil Jagielka,1
Danny Collins,1
Ashley Cole,1
Shaun Wright-Phillips,1
David Jones,1
Stylianos Giannakopoulos,1
Craig Bellamy,1
Giles Barnes,1
Carlos Bocanegra,1
Kevin Nolan,1
John Terry,1
Tomáš Rosický,1
Bobby Zamora,1
George Boateng,1
Steve Howard,1
Jonathan Woodgate,1
Stephen Warnock,1
Tugay Kerimoğlu,1
Fábio Rochemback,1
Grant Leadbitter,1
Paul Scholes,1
