player,goals
Pierre-Emerick Aubameyang,21
Danny Ings,17
Jamie Vardy,17
Anthony Martial,15
Raheem Sterling,13
Mohamed Salah,13
Marcus Rashford,13
Raúl Jiménez,13
Teemu Pukki,11
Tammy Abraham,11
Sadio Mané,11
Gabriel Jesus,10
Sergio Agüero,10
Richarlison,10
Michail Antonio,10
Heung-min Son,9
Mason Greenwood,9
Christian Pulišić,8
Chris Wood,8
Kevin De Bruyne,8
Dominic Calvert-Lewin,8
Harry Kane,8
Olivier Giroud,8
Alexandre Lacazette,7
Jordan Ayew,7
Callum Wilson,7
Neal Maupay,7
Riyad Mahrez,7
Willian,7
Jack Grealish,6
Todd Cantwell,6
Lys Mousset,6
Troy Deeney,6
Joshua King,6
Bernardo Silva,6
Bruno Fernandes,6
Mason Mount,6
Jay Rodriguez,5
Diogo Jota,5
Dele Alli,5
David Silva,5
Wesley,5
Ismaïla Sarr,5
Sébastien Haller,5
Roberto Firmino,5
Nicolas Pépé,5
Oliver McBurnie,4
Ayoze Pérez,4
Dwight Gayle,4
Phil Foden,4
Jordan Henderson,4
Harry Wilson,4
Trezeguet,4
Leander Dendoncker,4
Ashley Barnes,4
Stuart Armstrong,4
Leandro Trossard,4
Virgil van Dijk,4
Harvey Barnes,4
Jonjo Shelvey,4
Luka Milivojević,3
Aaron Connolly,3
Matt Doherty,3
Steven Bergwijn,3
Gerard Deulofeu,3
Abdoulaye Doucouré,3
Divock Origi,3
Che Adams,3
Jeffrey Schlupp,3
John Lundstram,3
Lucas Moura,3
Jorginho,3
Tomáš Souček,3
John Fleck,3
Robert Snodgrass,3
Mark Noble,3
Ricardo Pereira,3
John McGinn,3
Conor Hourihane,3
Lewis Dunk,3
Wilfried Zaha,3
Bernard,3
Miguel Almirón,3
Allan Saint-Maximin,3
Trent Alexander-Arnold,3
Gabriel Martinelli,3
Nathan Redmond,3
James Ward-Prowse,3
Marcos Alonso,3
Matthew Longstaff,2
N'Golo Kanté,2
George Baldock,2
Ben Chilwell,2
Christian Eriksen,2
Georginio Wijnaldum,2
Michael Obafemi,2
Kelechi Iheanacho,2
Issa Diop,2
Rodri,2
David McGoldrick,2
Tanguy NDombèlé,2
Andre Gray,2
Moussa Sissoko,2
Enda Stevens,2
Junior Stanislas,2
David Luiz,2
Ashley Westwood,2
Adama Traoré,2
Danny Welbeck,2
Matěj Vydra,2
Demarai Gray,2
Fabinho,2
Aaron Cresswell,2
Youri Tielemans,2
Michael Keane,2
Scott McTominay,2
Matt Ritchie,2
Antonio Rüdiger,2
Alex Oxlade-Chamberlain,2
Yerry Mina,2
Jonny,2
Romain Saïss,2
Moussa Djénépo,2
Pedro Neto,2
Dominic Solanke,2
Jetro Willems,2
Douglas Luiz,2
Pablo Fornals,2
Eddie Nketiah,2
Andrey Yarmolenko,2
Joelinton,2
Christian Benteke,2
Pascal Groß,2
Ciaran Clark,2
James Milner,1
Jan Bednarek,1
Mario Vrančić,1
Felipe Anderson,1
Toby Alderweireld,1
Gylfi Sigurðsson,1
Wilfred Ndidi,1
James Maddison,1
Aaron Mooy,1
Paul Pogba,1
Pedro,1
Callum Robinson,1
Kenny McLean,1
Jefferson Lerma,1
Javier Hernández,1
Jannik Vestergaard,1
İlkay Gündoğan,1
Adam Webster,1
Çağlar Söyüncü,1
Azpilicueta,1
Andrew Robertson,1
Harry Maguire,1
Nathan Aké,1
Nicolás Otamendi,1
Fabián Balbuena,1
Xherdan Shaqiri,1
Yves Bissouma,1
Érik Lamela,1
Serge Aurier,1
Mbwana Samatta,1
Federico Fernández,1
Dennis Praet,1
Adam Masina,1
Florin Andone,1
Sean Longstaff,1
Jonny Evans,1
Jack Stephens,1
Craig Dawson,1
Sander Berge,1
Ryan Fraser,1
Tom Davies,1
Aymeric Laporte,1
Daniel James,1
Fabian Schär,1
Andreas Pereira,1
James Tomkins,1
Billy Sharp,1
Callum Hudson-Odoi,1
Fikayo Tomori,1
Jamal Lewis,1
Björn Engels,1
Rúben Neves,1
Ben Mee,1
Valentino Lazaro,1
Shane Long,1
Alireza Jahanbakhsh,1
Alex Iwobi,1
Kieran Tierney,1
Victor Lindelöf,1
Steve Cook,1
Ezri Konsa,1
Naby Keïta,1
Chris Mepham,1
Emiliano Buendia,1
Moise Kean,1
Patrick van Aanholt,1
Mateo Kovačić,1
Sokratis Papastathopoulos,1
Glenn Murray,1
Anwar El Ghazi,1
Brandon Williams,1
Tom Cleverley,1
João Moutinho,1
Cheikhou Kouyaté,1
Alexander Tettey,1
Jóhann Guðmundsson,1
Will Hughes,1
Jeff Hendrick,1
Tyrone Mings,1
Jarrod Bowen,1
