player,goals
Pierre-Emerick Aubameyang,20
Mohamed Salah,19
Sergio Agüero,18
Sadio Mané,17
Raheem Sterling,16
Harry Kane,15
Jamie Vardy,12
Roberto Firmino,11
Richarlison,11
Glenn Murray,11
Eden Hazard,10
Gylfi Sigurðsson,10
Marko Arnautović,10
Paul Pogba,10
Salomón Rondón,9
Heung-min Son,9
Joshua King,9
Troy Deeney,8
Alexandre Lacazette,8
Ayoze Pérez,8
Diogo Jota,8
Anthony Martial,8
Aleksandar Mitrović,8
Romelu Lukaku,8
Callum Wilson,8
Gerard Deulofeu,8
Raúl Jiménez,7
Wilfried Zaha,7
Chris Wood,7
Felipe Anderson,7
Pedro,7
Ashley Barnes,7
David Brooks,7
Bernardo Silva,6
James Maddison,6
David Silva,6
Luka Milivojević,5
Ryan Babel,5
Riyad Mahrez,5
James Ward-Prowse,5
Theo Walcott,5
Christian Eriksen,5
Gonzalo Higuaín,5
Lucas Moura,5
Marcus Rashford,5
Roberto Pereyra,5
Leroy Sané,5
Shane Long,5
Danny Ings,5
Nathan Redmond,5
Andre Gray,5
Shane Duffy,5
Ryan Fraser,5
Morata,4
Gabriel Jesus,4
Henrikh Mkhitaryan,4
Andros Townsend,4
Granit Xhaka,4
Michail Antonio,4
Demarai Gray,4
Fabian Schär,4
Mark Noble,4
Aaron Ramsey,4
Callum Paterson,4
Javier Hernández,4
Dele Alli,4
İlkay Gündoğan,4
Mesut Özil,4
N'Golo Kanté,4
Mata,3
Bobby Reid,3
Eric Dier,3
Michy Batshuayi,3
Rúben Neves,3
Nathan Aké,3
Virgil van Dijk,3
Willy Boly,3
Nathaniel Mendez-Laing,3
Jesse Lingard,3
Youri Tielemans,3
Victor Camarasa,3
Ruben Loftus-Cheek,3
James McArthur,3
Lucas Digne,3
Xherdan Shaqiri,3
Stuart Armstrong,3
Jeff Hendrick,3
Florin Andone,3
Aaron Mooy,3
James Milner,3
David Luiz,2
Kurt Zouma,2
Séamus Coleman,2
Calum Chambers,2
Lucas Pérez,2
Dominic Calvert-Lewin,2
Robert Snodgrass,2
Dan Gosling,2
Laurent Koscielny,2
Jeffrey Schlupp,2
Karlan Grant,2
Matt Doherty,2
Josh Murphy,2
Sam Vokes,2
Ashley Westwood,2
Jefferson Lerma,2
Yan Valery,2
Lewis Dunk,2
Georginio Wijnaldum,2
Zanka,2
Jóhann Guðmundsson,2
Aboubakar Kamara,2
Willian,2
Ivan Cavaleiro,2
Craig Cathcart,2
Leander Dendoncker,2
Ross Barkley,2
Cenk Tosun,2
Patrick van Aanholt,2
Ryan Sessegnon,2
Alex Pritchard,2
Abdoulaye Doucouré,2
Junior Hoilett,2
Scott McTominay,2
Harry Maguire,2
Andrey Yarmolenko,2
André Schürrle,2
Philip Billing,2
Declan Rice,2
Dwight McNeil,2
Pascal Groß,2
Érik Lamela,2
José Cholevas,2
Sol Bamba,2
Aymeric Laporte,2
Will Hughes,2
Shkodran Mustafi,2
Jorginho,2
Matt Targett,1
Floyd Ayité,1
Wes Morgan,1
Rachid Ghezzal,1
Juninho Bacuna,1
Pierre-Emile Højbjerg,1
Joel Ward,1
Jürgen Locadia,1
Christian Benteke,1
Antonio Rüdiger,1
Étienne Capoue,1
Joselu,1
Victor Wanyama,1
Marc Albrighton,1
Ryan Bertrand,1
Yerry Mina,1
Fred,1
DeAndre Yedlin,1
Jordon Ibe,1
Fernandinho,1
Fabián Balbuena,1
Manolo Gabbiadini,1
Christopher Schindler,1
Steve Mounié,1
Michael Obafemi,1
Danilo,1
Kelechi Iheanacho,1
Lys Mousset,1
Beram Kayal,1
Aron Gunnarsson,1
Jonny Evans,1
Jonjo Shelvey,1
Romain Saïss,1
Jan Vertonghen,1
Anthony Knockaert,1
André Gomes,1
Christian Atsu,1
Yoshinori Mutō,1
Davinson Sánchez,1
Leon Balogun,1
Davy Pröpper,1
Dejan Lovren,1
Trent Alexander-Arnold,1
Alex Iwobi,1
Divock Origi,1
Joel Matip,1
Kiko Femenía,1
Naby Keïta,1
Ashley Young,1
Phil Foden,1
James Tomkins,1
Kieran Trippier,1
Ciaran Clark,1
Andreas Pereira,1
Phil Jagielka,1
Lucas Torreira,1
Luciano Vietto,1
Angelo Ogbonna,1
Ryan Fredericks,1
Jack Cork,1
Mario Lemina,1
Tom Cairney,1
Kevin De Bruyne,1
Jean Michaël Seri,1
Kenedy,1
Isaac Mbenza,1
Solly March,1
Sean Morrison,1
Tom Cleverley,1
Steve Cook,1
Michael Keane,1
James Tarkowski,1
Oriol Romeu,1
Domingos Quina,1
Ryan Bennett,1
Nacho Monreal,1
Bernard,1
Juan Foyth,1
Dale Stephens,1
Danny Ward,1
João Moutinho,1
Vincent Kompany,1
Isaac Hayden,1
Nemanja Matić,1
Kyle Walker,1
Ander Herrera,1
Cédric Soares,1
Ainsley Maitland-Niles,1
Wilfred Ndidi,1
