player,goals
Harry Kane,22
Alexis Sánchez,15
Eden Hazard,14
Romelu Lukaku,14
Sergio Agüero,13
Dele Alli,12
Diego Costa,11
Coutinho,11
Jamie Vardy,10
Jermain Defoe,10
Sadio Mané,10
Pedro,9
Roberto Firmino,9
Joshua King,9
Troy Deeney,9
Llorente,9
Zlatan Ibrahimović,9
Heung-min Son,9
Christian Benteke,9
Álvaro Negredo,8
Theo Walcott,8
Adam Lallana,8
Junior Stanislas,7
Michail Antonio,7
Mesut Özil,7
Divock Origi,7
Peter Crouch,7
Marcos Alonso,6
Kevin De Bruyne,6
Sam Vokes,6
Nathan Redmond,6
Islam Slimani,6
Willian,6
Christian Eriksen,6
Robert Snodgrass,6
Salomón Rondón,6
Riyad Mahrez,6
Wilfried Zaha,6
Étienne Capoue,6
André Ayew,5
Charlie Austin,5
Raheem Sterling,5
James McArthur,5
Benik Afobe,5
James Morrison,5
Andre Gray,5
Ashley Barnes,5
Gylfi Sigurðsson,5
Joe Allen,5
Callum Wilson,5
Leroy Sané,5
Manuel Lanzini,5
Gareth McAuley,4
Cristhian Stuani,4
Gary Cahill,4
Mata,4
Craig Dawson,4
James Milner,4
Georginio Wijnaldum,4
Andy Carroll,4
Leroy Fer,4
Marko Arnautović,4
Emre Can,4
Marten de Roon,3
David Silva,3
Paul Pogba,3
Sam Clucas,3
Wayne Routledge,3
Ryan Fraser,3
Charlie Daniels,3
Kelechi Iheanacho,3
Michael Dawson,3
Vincent Kompany,3
Yohan Cabaye,3
Manolo Gabbiadini,3
Yaya Touré,3
Kevin Mirallas,3
Wayne Rooney,3
Xherdan Shaqiri,3
Mark Noble,3
Abel Hernández,3
Ross Barkley,3
Oumar Niasse,3
Nacer Chadli,3
Sofiane Féghouli,3
Anthony Martial,3
Victor Wanyama,3
Stefano Okaka,3
Olivier Giroud,3
Patrick van Aanholt,3
Alex Iwobi,3
Gabriel Jesus,3
Dušan Tadić,2
Victor Anichebe,2
Marc Pugh,2
Matt Phillips,2
Tom Davies,2
Danny Welbeck,2
Jonny Evans,2
James Ward-Prowse,2
James Collins,2
Phil Jagielka,2
Dejan Lovren,2
İlkay Gündoğan,2
Hal Robson-Kanu,2
George Boyd,2
Martin Olsson,2
Daryl Janmaat,2
Scott Dann,2
Chris Brunt,2
Jon Walters,2
Roberto Pereyra,2
Gareth Barry,2
Calum Chambers,2
Andros Townsend,2
Wilfried Bony,2
Michael Keane,2
Bojan,2
Marcus Rashford,2
José Cholevas,2
Nathan Aké,2
Cesc Fàbregas,2
M’Baye Niang,2
Dimitri Payet,2
Enner Valencia,2
Daniel Sturridge,2
Connor Wickham,2
Robert Huth,2
Henrikh Mkhitaryan,2
Harry Maguire,2
Christian Kabasele,2
Shkodran Mustafi,2
James Tomkins,2
Adama Diomandé,2
Danny Rose,2
Lazar Marković,2
Wahbi Khazri,1
Diafra Sakho,1
Jay Rodriguez,1
Alex Oxlade-Chamberlain,1
Christian Fuchs,1
N'Golo Kanté,1
Eric Dier,1
Héctor Bellerín,1
Michy Batshuayi,1
Robbie Brady,1
Fernandinho,1
Marcos Rojo,1
Joey Barton,1
Wes Morgan,1
Marouane Fellaini,1
Ryan Bertrand,1
Mike van der Hoorn,1
Luka Milivojević,1
Matthew Pennington,1
Josh Harrop,1
Laurent Koscielny,1
Pablo Zabaleta,1
Jesse Lingard,1
Sebastian Prödl,1
David Meyler,1
Andrew Robertson,1
Bruno Martins Indi,1
Patrick Bamford,1
Manquillo,1
Érik Lamela,1
Ben Gibson,1
Joe Ledley,1
Ahmed Musa,1
Dan Gosling,1
Demarai Gray,1
Ryan Mason,1
Mame Diouf,1
Mousa Dembélé,1
Billy Jones,1
Gastón Ramírez,1
Borja Bastón,1
David Luiz,1
John Terry,1
Kyle Naughton,1
Harry Winks,1
Jake Livermore,1
Sofiane Boufal,1
Jordy Clasie,1
Winston Reid,1
Dean Marney,1
Grant Leadbitter,1
Andy King,1
Leonardo Ulloa,1
James McCarthy,1
Darren Fletcher,1
Shinji Okazaki,1
Ben Chilwell,1
Santi Cazorla,1
Fabian Delph,1
Steven Defour,1
Rudy Gestede,1
Stephen Ward,1
Granit Xhaka,1
Ben Mee,1
Steve Cook,1
Stewart Downing,1
Victor Moses,1
Shane Long,1
Oriol Romeu,1
Virgil van Dijk,1
Nemanja Matić,1
Ander Herrera,1
Shaun Maloney,1
Younès Kaboul,1
Lamine Koné,1
Jóhann Guðmundsson,1
Ryan Shawcross,1
Yannick Bolasie,1
Morgan Schneiderlin,1
Tom Carroll,1
Marc Albrighton,1
Dominic Calvert-Lewin,1
Tom Huddlestone,1
Lucas Pérez,1
Chris Smalling,1
Miguel Britos,1
Adam Smith,1
Nolito,1
Jeff Hendrick,1
Charlie Adam,1
Isaac Success,1
Jordan Ayew,1
Gaël Clichy,1
Wilfred Ndidi,1
