player,goals
Nicolas Anelka,15
Cristiano Ronaldo,14
Darren Bent,11
Wayne Rooney,11
Robinho,11
Steven Gerrard,11
Fernando Torres,10
John Carew,10
Frank Lampard,10
Peter Crouch,10
Jermain Defoe,9
Matthew Taylor,9
Gabriel Agbonlahor,8
Amr Zaki,8
Djibril Cissé,8
Carlton Cole,8
Robin van Persie,8
Ricardo Fuller,8
Géovanni,7
Kenwyne Jones,7
Dimitar Berbatov,7
Dirk Kuyt,7
Michael Owen,7
Benny McCarthy,7
Chris Brunt,7
Emmanuel Adebayor,7
James Beattie,6
Elano,6
Kevin Davies,6
Stephen Ireland,6
Andy Johnson,6
Robbie Keane,6
Nicklas Bendtner,5
Didier Drogba,5
Florent Malouda,5
Mikel Arteta,5
Salomon Kalou,5
Marouane Fellaini,5
Danny Murphy,5
Jô,5
Leon Osman,5
Craig Bellamy,5
Ashley Young,5
Tuncay Şanlı,5
Obafemi Martins,5
Tim Cahill,5
Samir Nasri,5
Marlon King,4
Clint Dempsey,4
Michael Turner,4
Gareth Barry,4
Daniel Cousin,4
Johan Elmander,4
Felipe Caicedo,4
Xabi Alonso,4
Shaun Wright-Phillips,4
Marc-Antoine Fortuné,4
Emile Heskey,4
Kieran Richardson,4
Roman Pavlyuchenko,4
Yossi Benayoun,4
James Milner,3
Shola Ameobi,3
Jason Roberts,3
Stephen Warnock,3
Nemanja Vidić,3
Luka Modrić,3
Jack Collison,3
Mido,3
Liam Lawrence,3
Ishmael Miller,3
Darren Fletcher,3
James Morrison,3
Ricardo Gardner,3
David Di Michele,3
Antonio Valencia,3
Andrey Arshavin,3
Abou Diaby,3
Yakubu Ayegbeni,3
Carlos Tévez,3
Steven Pienaar,3
Erik Nevland,3
Hugo Rodallega,3
Aaron Lennon,3
Grétar Steinsson,3
Afonso Alves,3
Mark Noble,2
Craig Fagan,2
Jermaine Jenas,2
Rory Delap,2
Ryan Babel,2
Nadir Belhadj,2
Keith Andrews,2
Dean Ashton,2
Michael Carrick,2
Matthew Etherington,2
Robert Koren,2
Roman Bednář,2
Alex,2
Niko Kranjčar,2
Deco,2
Albert Riera,2
Henri Camara,2
Roque Santa Cruz,2
Ji-Sung Park,2
Christopher Samba,2
Seyi Olofinjana,2
Paul Scholes,2
Gary O'Neil,2
Hermann Hreiðarsson,2
Fábio Aurélio,2
Cesc Fàbregas,2
Ryan Giggs,2
Charles N'Zogbia,2
Joe Cole,2
Louis Saha,2
Steven Taylor,2
Ryan Taylor,2
Abdoulaye Faye,2
Belletti,2
Diomansy Kamara,2
Peter Løvenkrands,2
Joleon Lescott,2
David Nugent,2
Glen Johnson,2
Damien Duff,2
Michael Dawson,1
Zoltán Gera,1
Diego Tristán,1
Valon Behrami,1
Matthew Bates,1
Carlos Vela,1
Andy O'Brien,1
El-Hadji Diouf,1
Junior Stanislas,1
Manucho,1
Ledley King,1
Jérémie Aliadiére,1
Radoslav Kováč,1
Joey Barton,1
Bernard Mendy,1
Darron Gibson,1
Morten Gamst Pedersen,1
David Edgar,1
Emmanuel Eboué,1
Richard Dunne,1
Paul Konchesky,1
Nigel Reo-Coker,1
David N'Gog,1
Paul McShane,1
Mikaël Silvestre,1
William Gallas,1
Kamil Zayatte,1
Benjani,1
Steed Malbranque,1
David Dunn,1
Luke Young,1
Wes Brown,1
Nick Barmby,1
Denilson,1
Tamir Cohen,1
Ben Watson,1
Pablo Zabaleta,1
Federico Macheda,1
Michael Essien,1
Jonas Olsson,1
Theo Walcott,1
Micah Richards,1
Valeri Bojinov,1
Andy Carroll,1
Ricardo Carvalho,1
Leighton Baines,1
Hayden Mullins,1
Scott Parker,1
David Wheater,1
Ki-hyeon Seol,1
Danny Collins,1
Simon Davies,1
Ched Evans,1
Tugay Kerimoğlu,1
John Utaka,1
Matt Derbyshire,1
Nwankwo Kanu,1
Stilian Petrov,1
Bosingwa,1
Lee Cattermole,1
John Terry,1
Bobby Zamora,1
Calum Davenport,1
Ryan Nelsen,1
Ian Ashbee,1
Curtis Davies,1
Luke Moore,1
Younès Kaboul,1
Victor Anichebe,1
Emanuel Pogatetz,1
Sean Davis,1
Gary Cahill,1
Joseph Yobo,1
Sébastien Puygrenier,1
Jimmy Bullard,1
Vincent Kompany,1
James Tomkins,1
Danny Higginbotham,1
Jay Simpson,1
Jonathan Greening,1
Ryan Shawcross,1
David Bentley,1
Nedum Onuoha,1
Daniel Sturridge,1
Steven Sidwell,1
Mamady Sidibe,1
Brede Hangeland,1
Dickson Etuhu,1
Chris Basham,1
