player,goals
Carlos Tévez,18
Dimitar Berbatov,17
Rafael van der Vaart,13
Robin van Persie,13
Darren Bent,12
Dirk Kuyt,11
Clint Dempsey,11
Andy Carroll,10
Wayne Rooney,10
Peter Odemwingie,10
Kevin Nolan,10
Frank Lampard,9
Didier Drogba,9
Javier Hernández,9
Florent Malouda,9
Charlie Adam,8
Samir Nasri,8
Maximiliano Rodríguez,8
Charles N'Zogbia,8
Nani,7
Salomon Kalou,7
Asamoah Gyan,7
Steven Fletcher,7
DJ Campbell,7
Craig Gardner,7
Johan Elmander,7
Hugo Rodallega,7
Theo Walcott,6
Fernando Torres,6
Louis Saha,6
Stewart Downing,6
Kenwyne Jones,6
Demba Ba,6
Mario Balotelli,6
Yaya Touré,6
Raúl Meireles,5
Gareth Bale,5
Luke Varney,5
Daniel Sturridge,5
Leon Best,5
Somen Tchoyi,5
Jermaine Beckford,5
Marouane Chamakh,5
Kevin Davies,5
Ashley Young,5
Danny Welbeck,5
Roman Pavlyuchenko,5
Frédéric Piquionne,5
Shola Ameobi,5
Youssuf Mulumbu,4
Nikola Žigić,4
James Morrison,4
Luis Suárez,4
Peter Løvenkrands,4
Nikola Kalinić,4
Gary Taylor-Fletcher,4
Morten Gamst Pedersen,4
Tim Cahill,4
Simon Davies,4
Junior Hoilett,4
Brede Hangeland,4
Jason Roberts,4
Andrey Arshavin,4
Sylvain Ebanks-Blake,4
Peter Crouch,4
Nemanja Vidić,4
Nicolas Anelka,4
Matthew Etherington,4
Leighton Baines,4
Mark Noble,4
Sebastian Larsson,3
Adam Johnson,3
Branislav Ivanović,3
Ricardo Fuller,3
Bobby Zamora,3
Scott Parker,3
Cesc Fàbregas,3
Luka Modrić,3
Steven Gerrard,3
Jerome Thomas,3
Paul Scharner,3
Christopher Samba,3
Kieran Richardson,3
Leon Osman,3
Marc Albrighton,3
Stéphane Sessègnon,3
Matthew Jarvis,3
Ji-Sung Park,3
Jon Walters,3
Cameron Jerome,3
Lee Bowyer,3
Carlton Cole,3
Jordan Henderson,3
Damien Duff,3
Gary Cahill,3
Pablo Zabaleta,2
Ryan Nelsen,2
John Terry,2
Séamus Coleman,2
David N'Gog,2
David Vaughan,2
Michael Essien,2
Patrick Vieira,2
David Luiz,2
Jonás Gutiérrez,2
Martin Olsson,2
James Collins,2
Abou Diaby,2
Joey Barton,2
Sylvain Distin,2
Kevin Foley,2
Benjani,2
Chris Brunt,2
Laurent Koscielny,2
Rory Delap,2
Gareth Barry,2
Mame Diouf,2
Marlon Harewood,2
Roger Johnson,2
Nenad Milijaš,2
Victor Obinna,2
George Elokobi,2
Jermain Defoe,2
Liam Ridgewell,2
Diomansy Kamara,2
Joleon Lescott,2
Jermaine Pennant,2
Kevin Doyle,2
Gabriel Agbonlahor,2
Sotirios Kyrgiakos,2
Jason Puncheon,2
Diniyar Bilyaletdinov,2
Alex Song,2
Edin Džeko,2
Phil Bardsley,2
Ben Watson,2
Tom Cleverley,2
Jamie O'Hara,2
Ciaran Clark,2
David Silva,2
Chris Baird,2
Martin Petrov,2
Boudewijn Zenden,2
Robert Huth,2
Mousa Dembélé,2
Chung-yong Lee,2
Jean Beausejour,2
Ramires,1
Marc-Antoine Fortuné,1
Aaron Ramsey,1
Aaron Lennon,1
Ryan Giggs,1
Sandro,1
Sébastien Bassong,1
Scott Dann,1
Jelle Van Damme,1
Dean Whitehead,1
Emmanuel Adebayor,1
Zat Knight,1
Junior Stanislas,1
Paul Scholes,1
Fabricio Coloccini,1
Jordi Gómez,1
Abdoulaye Faye,1
Momo Diamé,1
John Carew,1
Stephen Hunt,1
Steven N'Zonzi,1
Antonio Valencia,1
Matthew Taylor,1
Ryan Babel,1
Jonathan Spector,1
Grant Hanley,1
Steven Taylor,1
Emmanuel Eboué,1
Luke Young,1
Martin Škrtel,1
Ian Evatt,1
Yakubu Ayegbeni,1
Elliot Grandin,1
Freddie Sears,1
Jody Craddock,1
Aaron Hughes,1
Glen Johnson,1
Emile Heskey,1
Patrice Evra,1
Graham Dorrans,1
Ivan Klasnić,1
David Edwards,1
Stephen Ward,1
Niko Kranjčar,1
Dickson Etuhu,1
Michael Owen,1
Stuart Holden,1
Nedum Onuoha,1
Andy Johnson,1
Anderson,1
Thomas Hitzlsperger,1
Gonzalo Jara,1
Conor Sammon,1
Pablo Ibáñez,1
Victor Moses,1
Rodrigo,1
Adlène Guédioura,1
Gaël Kakuta,1
James Milner,1
Nigel de Jong,1
Sébastien Squillaci,1
Robbie Keane,1
Johan Djourou,1
Tom Huddlestone,1
Keith Fahey,1
Alex Baptiste,1
Brett Emerton,1
Zoltán Gera,1
Kevin Phillips,1
Valon Behrami,1
Alan Hutton,1
Jonas Olsson,1
Neal Eardley,1
Steve Gohouri,1
Grétar Steinsson,1
Nathan Delfouneso,1
Steven Reid,1
Hatem Ben Arfa,1
Aliaksandr Hleb,1
Mikel Arteta,1
Manuel Da Costa,1
Kyle Walker,1
Danny Higginbotham,1
David Dunn,1
Fabrice Muamba,1
Steven Sidwell,1
Ryan Shawcross,1
James McCarthy,1
Craig Cathcart,1
