player,goals
Benny McCarthy,17
Wayne Rooney,13
Didier Drogba,13
Yakubu Ayegbeni,11
Cristiano Ronaldo,11
Mark Viduka,10
Darren Bent,10
Bobby Zamora,10
Dirk Kuyt,9
Dimitar Berbatov,9
Kevin Doyle,9
Emile Heskey,8
Frank Lampard,8
Obafemi Martins,8
Nicolas Anelka,8
Robbie Keane,7
Matthew Taylor,7
Louis Saha,7
Brian McBride,7
Jermain Defoe,7
Kevin Davies,7
Shabani Nonda,7
Rob Hulse,7
Thierry Henry,7
Gabriel Agbonlahor,6
Steven Gerrard,6
Andy Johnson,6
Benjani,6
Gilberto Silva,6
Nwankwo Kanu,6
Michael Ballack,5
Carlos Tévez,5
El-Hadji Diouf,5
Mikel Arteta,5
Kieron Dyer,5
Peter Crouch,5
Emmanuel Adebayor,5
Hameur Bouazza,5
Gary Speed,5
Robin van Persie,5
Craig Bellamy,5
Andriy Shevchenko,4
Henri Camara,4
Ji-Sung Park,4
Joey Barton,4
Paul Scholes,4
Jon Stead,4
Georgios Samaras,4
Lee McCulloch,4
Leroy Lita,4
Salomon Kalou,4
Ryan Giggs,4
Bernardo Corradi,3
Iván Campo,3
Morten Gamst Pedersen,3
Jason Roberts,3
James Milner,3
Brynjar Gunnarsson,3
James Vaughan,3
Yossi Benayoun,3
Paul Scharner,3
Robbie Fowler,3
Luke Moore,3
Tim Cahill,3
Matt Derbyshire,3
Shola Ameobi,3
Michael Carrick,3
Kevin Nolan,3
Phil Jagielka,3
Carlos Bocanegra,3
Ki-hyeon Seol,3
Darius Vassell,3
Stephen Hunt,3
Ashley Young,3
Nemanja Vidić,3
Marlon King,3
Ole Gunnar Solskjær,3
Ricardo Carvalho,3
Damien Francis,3
Gareth Barry,3
Xabi Alonso,3
Jermaine Jenas,3
Christian Nadé,2
Christopher Samba,2
Teemu Tainio,2
Luis García,2
Tomáš Rosický,2
Sylvain Distin,2
Stilian Petrov,2
Stephen Quinn,2
Scott Parker,2
Jimmy Floyd Hasselbaink,2
Mark Noble,2
Victor Anichebe,2
Steven Sidwell,2
David Bentley,2
Noé Pamarot,2
Júlio Baptista,2
Antoine Sibierski,2
Danny Murphy,2
Patrik Berger,2
James Beattie,2
Juan Pablo Ángel,2
Andy Reid,2
Sami Hyypiä,2
William Gallas,2
Julio Arca,2
Kolo Touré,2
Darren Ambrose,2
Darius Henderson,2
Ívar Ingimarsson,2
Heiðar Helguson,2
Nolberto Solano,2
Moritz Volz,2
Tamás Priskin,2
Abdoulaye Faye,2
Jay DeMerit,2
Alan Stubbs,2
Steed Malbranque,2
Joseph Yobo,2
Pedro Mendes,2
Andranik Teymourian,2
John Carew,2
James Morrison,2
Fábio Rochemback,2
Manuel Fernandes,2
Zat Knight,2
Claus Jensen,2
Niko Kranjčar,2
Darren Fletcher,2
Leighton Baines,2
Cesc Fàbregas,2
Tomasz Radzinski,2
Danny Webber,2
Talal El-Karkouri,2
Arbeloa,1
Linvoy Primus,1
Richard Dunne,1
Michael Tonge,1
Nigel Reo-Coker,1
Milan Baroš,1
Gavin McCann,1
Mikaël Silvestre,1
Colin Kâzım-Richards,1
Henrik Larsson,1
Mark González,1
Dave Kitson,1
Matt Jackson,1
Kevin Kilbane,1
Caleb Folan,1
Leon Osman,1
Jerome Thomas,1
Geremi,1
Michael Essien,1
Matt Holland,1
Abel Xavier,1
Mathieu Flamini,1
Lomana LuaLua,1
Patrice Evra,1
Michael Dawson,1
David Unsworth,1
Abou Diaby,1
Claude Makélélé,1
Massimo Maccarone,1
Teddy Sheringham,1
Ľubomir Michalík,1
Arjen Robben,1
Clint Dempsey,1
Jermaine Pennant,1
Amdy Faye,1
Damien Duff,1
Keith Gillespie,1
Justin Hoyte,1
Phil Neville,1
John O'Shea,1
Collins John,1
Danny Shittu,1
Shaun Maloney,1
Carlton Cole,1
Emre Belözoğlu,1
Kepa,1
Kieran Richardson,1
Andy Cole,1
Tommy Smith,1
Henrik Pedersen,1
Nicky Butt,1
David Edgar,1
Émile Mpenza,1
Sol Campbell,1
Daniel Agger,1
Zhi Zheng,1
Luke Young,1
Vincenzo Montella,1
Antonio Valencia,1
Chris Morgan,1
Aaron Lennon,1
Gavin Mahon,1
David Wheater,1
Aliaksandr Hleb,1
Stephen Ireland,1
Marlon Harewood,1
Douglas,1
Rio Ferdinand,1
James McFadden,1
Hatem Trabelsi,1
Tom Huddlestone,1
Hayden Mullins,1
Boa Morte,1
Mido,1
Jamie Carragher,1
Simon Davies,1
Shane Long,1
Ulises De la Cruz,1
Shaun Wright-Phillips,1
Stewart Downing,1
Olof Mellberg,1
Svetoslav Todorov,1
Liam Ridgewell,1
Calum Davenport,1
Craig Gardner,1
Joleon Lescott,1
David Cotterill,1
Lee Cattermole,1
George Boateng,1
Paul Robinson,1
Lee Carsley,1
Stephen Warnock,1
Paul Huntington,1
Tugay Kerimoğlu,1
John Terry,1
