player,goals
Harry Kane,26
Mohamed Salah,22
Jamie Vardy,17
Sergio Agüero,16
Roberto Firmino,14
Glenn Murray,12
Romelu Lukaku,12
Alexandre Lacazette,11
Eden Hazard,11
Raheem Sterling,10
Gabriel Jesus,10
Marko Arnautović,9
Sadio Mané,9
Heung-min Son,9
Wayne Rooney,8
Morata,8
Kevin De Bruyne,8
Luka Milivojević,7
Riyad Mahrez,7
Ayoze Pérez,7
Javier Hernández,7
David Silva,7
Dele Alli,7
Leroy Sané,7
Marcus Rashford,7
Ashley Barnes,7
Jay Rodriguez,6
Pierre-Emerick Aubameyang,6
Charlie Austin,6
Coutinho,6
Wilfried Zaha,6
Dwight Gayle,6
Jordan Ayew,6
Pascal Groß,6
Alexis Sánchez,6
Oumar Niasse,6
Shinji Okazaki,6
Christian Eriksen,6
Steve Mounié,6
Callum Wilson,5
Bernardo Silva,5
Joshua King,5
Laurent Depoitre,5
Fernandinho,5
José Izquierdo,5
Salomón Rondón,5
Willian,4
Olivier Giroud,4
Junior Stanislas,4
Dominic Calvert-Lewin,4
Dušan Tadić,4
Gylfi Sigurðsson,4
Aaron Ramsey,4
Roberto Pereyra,4
Nacho Monreal,4
Andre Gray,4
Chris Smalling,4
Pedro,4
Troy Deeney,4
Nicolás Otamendi,4
Manolo Gabbiadini,4
Jesse Lingard,4
Xherdan Shaqiri,4
Marcos Alonso,4
Mesut Özil,4
Chris Wood,4
Eric Maxim Choupo-Moting,4
Paul Pogba,4
Mark Noble,3
Peter Crouch,3
Cenk Tosun,3
Abdoulaye Doucouré,3
Alex Iwobi,3
Antonio Valencia,3
Manuel Lanzini,3
Jermain Defoe,3
Kelechi Iheanacho,3
Anthony Martial,3
Jamaal Lascelles,3
Aaron Mooy,3
Richarlison,3
Michail Antonio,3
Danny Welbeck,3
James McArthur,3
Mame Diouf,3
Demarai Gray,3
Tammy Abraham,3
Emre Can,3
İlkay Gündoğan,3
Matt Ritchie,3
Anthony Knockaert,2
Steven Davis,2
Victor Moses,2
Lys Mousset,2
Christian Atsu,2
Sead Kolašinac,2
Theo Walcott,2
Nathan Aké,2
Sam Vokes,2
Hal Robson-Kanu,2
Laurent Koscielny,2
Jack Cork,2
Shane Long,2
Sam Clucas,2
Idrissa Gueye,2
Andrew Surman,2
Ryan Fraser,2
André Ayew,2
Ashley Young,2
Daryl Janmaat,2
Andy King,2
Ben Davies,2
Andros Townsend,2
Momo Diamé,2
João Mário,2
Ahmed Hegazy,2
James Tomkins,2
Tiemoué Bakayoko,2
Pedro Obiang,2
Henrikh Mkhitaryan,2
Joe Allen,2
James Ward-Prowse,2
Badou N'Diaye,2
Jeff Hendrick,2
Will Hughes,2
Joselu,2
Antonio Rüdiger,2
Scott Arfield,2
Christian Benteke,2
Patrick van Aanholt,2
Alex Oxlade-Chamberlain,2
Maya Yoshida,2
Tomer Hemed,2
Craig Dawson,2
Jonny Evans,2
Danilo,2
Christian Kabasele,2
Érik Lamela,2
Kenedy,2
Jordon Ibe,2
Mata,2
Shkodran Mustafi,2
Daniel Sturridge,2
Ciaran Clark,2
Cesc Fàbregas,2
Ashley Williams,1
Islam Slimani,1
Matt Phillips,1
Federico Fernández,1
Marouane Fellaini,1
Iborra,1
Tom Davies,1
Sung-yueng Ki,1
Mike van der Hoorn,1
Héctor Bellerín,1
Michy Batshuayi,1
Alex Pritchard,1
Alfie Mawson,1
Eric Bailly,1
Darren Fletcher,1
Ramadan Sobhi,1
Dominic Solanke,1
Kevin Long,1
Jack Wilshere,1
James Morrison,1
Robbie Brady,1
Sam Field,1
Harry Arter,1
Dan Gosling,1
Harry Maguire,1
Jesé,1
Bakary Sako,1
James Collins,1
Danny Drinkwater,1
Jacob Murphy,1
Henri Saivet,1
Jonjo Shelvey,1
Kurt Zouma,1
Jack Stephens,1
Leighton Baines,1
Ruben Loftus-Cheek,1
Marc Albrighton,1
James McClean,1
Cheikhou Kouyaté,1
Vincent Kompany,1
Isaac Hayden,1
Nacer Chadli,1
Llorente,1
Solly March,1
Danny Ings,1
Yannick Bolasie,1
Molla Wagué,1
Stefano Okaka,1
Joel Matip,1
Nathan Redmond,1
Andy Carroll,1
Elias Kachunga,1
Kiko Femenía,1
Charlie Daniels,1
Tom Ince,1
Leonardo Ulloa,1
Trent Alexander-Arnold,1
Granit Xhaka,1
Jan Bednarek,1
André Carrillo,1
Gareth Barry,1
N'Golo Kanté,1
Dejan Lovren,1
Steve Cook,1
Rajiv van La Parra,1
Lewis Dunk,1
Wilfried Bony,1
Georginio Wijnaldum,1
Jake Livermore,1
Jordan Henderson,1
Oriol Romeu,1
Sofiane Boufal,1
